Identificador;ual_prov;ual_estr;ual_segm;al_ncues;ft_numl;rc_clacul;ft_numt;ft_k716;ft_k717;ft_k718;ft_k719;ft_k720ha;ft_k721ha;ft_k722;ft_k723;ft_k724;ft_k725;ft_k726;ft_venmernac;ft_venmerint;ft_prepara_suelo;ft_poda;ft_tutoreo;ft_despunte;ft_riego;ft_superf_regada_ha;ft_porc_surc;ft_porc_aspe;ft_porc_micr;ft_porc_gote;ft_porc_nebu;ft_porc_otro;ft_aferti;ft_forg;ft_cant1_fo;ft_umed1_fo;ft_cant2_fo;ft_umed2_fo;ft_cant3_fo;ft_umed3_fo;ft_fqui;ft_cantidad_npk_fq;ft_umed_npk_fq;ft_cantidad_nit_fq;ft_umed_nit_fq;ft_cantidad_fq;ft_umed_fq;ft_cantidad_pot_fq;ft_umed_pot_fq;ft_apliplagui;ft_porg;ft_cantidad_po;ft_umed_po;ft_pqui;ft_cantidad_her_pq;ft_umed_her_pq;ft_color_her_pq;ft_cantidad_ins_pq;ft_umed_ins_pq;ft_color_ins_pq;ft_cantidad_fun_pq;ft_umed_fun_pq;ft_color_fun_pq;ft_cantidad_pq;ft_umed_pq;ft_color_pq;ft_trabocacont;ft_trabfami;ft_clacu;ft_full_tabaco;ft_tabaco;ft_bonche;ft_bouquet;ft_tn;fact_exp_fin
05015801107710021;COTOPAXI;01;10771;0021;3;OTRAS FLORES TRANSITORIAS;1;CAMPO ABIERTO;9;25;12;,12;,12;38500;38500;BONCHE;1155;25;100; ;1;1;1;1;SI;,12; ; ; ;100; ; ;SI;SI; ; ; ; ;10;LITRO;SI; ; ; ; ;60;LIBRA;10;LIBRA;SI;NO; ; ;SI; ; ; ;2,4;LITRO;AZUL;2;LITRO;AZUL; ; ; ; ; ;OTRAS FLORES TRANSITORIAS; ; ;1155; ;TOTAL NACIONAL;72,4914099871881
05015801107710025;COTOPAXI;01;10771;0025;1;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;1;25;4;,26;,26;24000;24000;BONCHE;672;25;90;10;1;1;1;1;SI;,26; ; ; ;100; ; ;SI;SI; ; ;100;KILOGRAMO; ; ;SI; ; ;36;KILOGRAMO;15;KILOGRAMO;30;KILOGRAMO;SI;NO; ; ;SI;,5;LITRO;AZUL;1;KILOGRAMO;AMARILLO;2;KILOGRAMO;AZUL; ; ; ; ; ;OTRAS FLORES TRANSITORIAS; ; ;672; ;TOTAL NACIONAL;13,4133994972221
05015801107710025;COTOPAXI;01;10771;0025;2;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;5;25;8;,26;,26;24000;24000;BONCHE;672;25;90;10;1;1;1;1;SI;,26; ; ; ;100; ; ;SI;SI; ; ;100;KILOGRAMO; ; ;SI; ; ;36;KILOGRAMO;15;KILOGRAMO;30;KILOGRAMO;SI;NO; ; ;SI;,5;LITRO;AZUL;1;KILOGRAMO;AMARILLO;2;KILOGRAMO;AZUL; ; ; ; ; ;OTRAS FLORES TRANSITORIAS; ; ;672; ;TOTAL NACIONAL;13,4133994972221
05015801107710025;COTOPAXI;01;10771;0025;3;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;9;25;12;,26;,26;24000;24000;BONCHE;672;25;90;10;1;1;1;1;SI;,26; ; ; ;100; ; ;SI;SI; ; ;100;KILOGRAMO; ; ;SI; ; ;36;KILOGRAMO;15;KILOGRAMO;30;KILOGRAMO;SI;NO; ; ;SI;,5;LITRO;AZUL;1;KILOGRAMO;AMARILLO;2;KILOGRAMO;AZUL; ; ; ; ; ;OTRAS FLORES TRANSITORIAS; ; ;672; ;TOTAL NACIONAL;13,4133994972221
05015801120410007;COTOPAXI;01;12041;0007;1;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;1;25;3;,12;,12;26880;268880;BONCHE;968;25;100; ;1;1;1;1;SI;,12; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;,5;QUINTAL;,5;QUINTAL; ; ; ; ;SI;NO; ; ;SI;1;LITRO;AZUL;1;LITRO;AZUL; ; ; ; ; ; ; ; ;OTRAS FLORES TRANSITORIAS; ; ;968; ;TOTAL NACIONAL;54,3411401643747
05015801120410007;COTOPAXI;01;12041;0007;2;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;3;25;5;,12;,12;26880;26880;BONCHE;968;25;100; ;1;1;1;1;SI;,12; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;,5;QUINTAL;,5;QUINTAL; ; ; ; ;SI;NO; ; ;SI;1;LITRO;AZUL;1;LITRO;AZUL; ; ; ; ; ; ; ; ;OTRAS FLORES TRANSITORIAS; ; ;968; ;TOTAL NACIONAL;54,3411401643747
05015801120410007;COTOPAXI;01;12041;0007;3;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;5;25;7;,12;,12;26880;26880;BONCHE;968;25;100; ;1;1;1;1;SI;,12; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;,5;QUINTAL;,5;QUINTAL; ; ; ; ;SI;NO; ; ;SI;1;LITRO;AZUL;1;LITRO;AZUL; ; ; ; ; ; ; ; ;OTRAS FLORES TRANSITORIAS; ; ;968; ;TOTAL NACIONAL;54,3411401643747
05015801120410007;COTOPAXI;01;12041;0007;4;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;7;25;9;,12;,12;26880;26880;BONCHE;968;25;100; ;1;1;1;1;SI;,12; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;,5;QUINTAL;,5;QUINTAL; ; ; ; ;SI;NO; ; ;SI;1;LITRO;AZUL;1;LITRO;AZUL; ; ; ; ; ; ; ; ;OTRAS FLORES TRANSITORIAS; ; ;968; ;TOTAL NACIONAL;54,3411401643747
05015801120410007;COTOPAXI;01;12041;0007;5;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;9;25;11;,12;,12;26880;26880;BONCHE;968;25;100; ;1;1;1;1;SI;,12; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;,5;QUINTAL;,5;QUINTAL; ; ; ; ;SI;NO; ; ;SI;1;LITRO;AZUL;1;LITRO;AZUL; ; ; ; ; ; ; ; ;OTRAS FLORES TRANSITORIAS; ; ;968; ;TOTAL NACIONAL;54,3411401643747
05015801123530005;COTOPAXI;01;12353;0005;1;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;1;25;4;,15;,15;33600;33600;BONCHE;1304;25;100; ;2;2;2;2;SI;,15; ; ; ;100; ; ;SI;SI;5;QUINTAL; ; ;2,5;LITRO;SI; ; ; ; ;,15;KILOGRAMO;4;KILOGRAMO;SI;NO; ; ;SI; ; ; ;3;LITRO;AMARILLO; ; ; ; ; ; ;0;0;OTRAS FLORES TRANSITORIAS; ; ;1304; ;TOTAL NACIONAL;4,07969811123056
