Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vgp_ncventmamen2mes;vgp_ncventmamay2mes;vgp_ncventhemmen2mes;vgp_ncventhemay2mes;vgp_totsacrif;ventasm2m;ventasmy2m;TOTAL;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;fact_exp_fin
01125301069780002; AZUAY;01;06978;0002;3; ;4; ;1;7; ;7;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,4258283490454
01055401070470001; AZUAY;01;07047;0001; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;46,2282111076591
01055401070470002; AZUAY;01;07047;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;49,3627550724341
01015801070740001; AZUAY;01;07074;0001; ;2; ; ;2; ;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;37,9326684009401
01015801070740007; AZUAY;01;07074;0007; ; ; ; ;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,2511175139738
01125301074240002; AZUAY;01;07424;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,28200307137617
01035201074300001; AZUAY;01;07430;0001; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;46,2669260583043
01035201075800004; AZUAY;01;07580;0004; ;5; ; ;0; ;5;5;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;77,7440086430692
01035201075800005; AZUAY;01;07580;0005; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;65,0742594488817
01035201075800006; AZUAY;01;07580;0006; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;29,4124185879087
01035201075800012; AZUAY;01;07580;0012; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;24,6341384637787
01035201075800013; AZUAY;01;07580;0013; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,48776808700841
01015301084280001; AZUAY;01;08428;0001; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,6431634292557
01015301084280002; AZUAY;01;08428;0002; ; ; ;1;1; ;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;35,2480018120709
01035601085230001; AZUAY;01;08523;0001; ; ; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;25,0097192256007
01035601085230002; AZUAY;01;08523;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,190768262590394
01035601085230003; AZUAY;01;08523;0003; ;1; ; ;0; ;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;42,4689895914258
01035601085230004; AZUAY;01;08523;0004; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13,2774710762914
01035601085230005; AZUAY;01;08523;0005; ; ; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,8947784855006
01035001087250002; AZUAY;01;08725;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6,93977402496931
01035001087250004; AZUAY;01;08725;0004; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;53,0077209510905
01035001087250005; AZUAY;01;08725;0005; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13,8379283238461
01035001087250006; AZUAY;01;08725;0006; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;49,4235007109788
01017001089340005; AZUAY;01;08934;0005; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;79,3407028948146
01035601090220003; AZUAY;01;09022;0003; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;55,9958474678925
01015301094290002; AZUAY;01;09429;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,68877861737008
01115001097580002; AZUAY;01;09758;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,1916209141471
01115001097580008; AZUAY;01;09758;0008; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,34382613093892
01017001100940005; AZUAY;01;10094;0005;1; ;1;1;1;2;1;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;45,4344025458087
01016401102290004; AZUAY;01;10229;0004; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;33,8487463353834
01085201108990001; AZUAY;01;10899;0001; ; ; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,27022911298849
01085201108990002; AZUAY;01;10899;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,8577522197652
01016801111160002; AZUAY;01;11116;0002; ; ; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;88,7099810091274
01016401112300009; AZUAY;01;11230;0009; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,3760438613982
01115301117410003; AZUAY;01;11741;0003; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;75,6218580497828
01115301117410008; AZUAY;01;11741;0008; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;58,00112872381
01016101119010001; AZUAY;01;11901;0001; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,8903036400778
01016801120920007; AZUAY;01;12092;0007; ; ; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;34,9930582466539
01016801120920008; AZUAY;01;12092;0008; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,225658308902556
01016801123170001; AZUAY;01;12317;0001; ; ; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,11323622045673
01115301124020002; AZUAY;01;12402;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,1603814471256
01115301124160003; AZUAY;01;12416;0003; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;35,2811055054352
01115401124270001; AZUAY;01;12427;0001; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;21,5963027970331
01115401124270003; AZUAY;01;12427;0003; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;48,7739881374417
01085201127220001; AZUAY;01;12722;0001; ; ; ; ;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,0825456618771
01095501128480006; AZUAY;01;12848;0006; ; ;2; ;0;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,4488765006656
