Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vgv_ncmterne;vgv_ncmtoret;vgv_ncmtoros;vgv_nchterne;vgv_nchvacon;vgv_nchvacas;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;subtotal_machos;subtotal_hembras;TOTAL;fact_exp_fin
01056201024910007; AZUAY;01;02491;0007;1; ;0;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;35,9370207409733
01056201024910008; AZUAY;01;02491;0008; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;26,6871353342843
01056201024910009; AZUAY;01;02491;0009; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;14,880084477627
01055001025040002; AZUAY;01;02504;0002; ;5; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5; ;5;69,6159515158412
01055001025040003; AZUAY;01;02504;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;52,8254650163835
01055001025040005; AZUAY;01;02504;0005; ;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;25,4526803307715
01055001025040006; AZUAY;01;02504;0006; ;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;38,60307908119
01055201026040001; AZUAY;01;02604;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;39,7674796364475
01055201026040002; AZUAY;01;02604;0002;3; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;19,0178754620482
01055201026040004; AZUAY;01;02604;0004; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;68,3110082554068
01015701027660001; AZUAY;01;02766;0001; ; ;5; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5; ;5;22,1069880711782
01055001028170001; AZUAY;01;02817;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;34,9013675215343
01055001028170002; AZUAY;01;02817;0002; ;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;41,103403613187
01055001028170003; AZUAY;01;02817;0003; ;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;66,0977049316922
01055001028170004; AZUAY;01;02817;0004; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;37,8657425600363
01055001028170006; AZUAY;01;02817;0006;1; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;24,7920859245202
01056201028290001; AZUAY;01;02829;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;66,1067174772894
01056201028290002; AZUAY;01;02829;0002; ; ;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;14,142933841602
01056201028290005; AZUAY;01;02829;0005; ;2; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;2,39634318418862
01056201028290007; AZUAY;01;02829;0007; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;2,28914200151982
01056201028290009; AZUAY;01;02829;0009; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;85,9018604477797
01056201028290011; AZUAY;01;02829;0011; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;20,0971444420997
01056201028290012; AZUAY;01;02829;0012; ; ;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;9,36019402524505
01056201028350001; AZUAY;01;02835;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;33,2900027798244
01056201028350002; AZUAY;01;02835;0002; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;38,5046582364766
01056201028350003; AZUAY;01;02835;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;51,8596349497916
01056201028350004; AZUAY;01;02835;0004; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;16,2576052494111
01056201028350005; AZUAY;01;02835;0005; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;38,6414327037606
01056201028350006; AZUAY;01;02835;0006; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;33,3504266368425
01056201028350007; AZUAY;01;02835;0007; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;40,72198794752
01056201028350008; AZUAY;01;02835;0008; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;42,8589889724908
01056201028350009; AZUAY;01;02835;0009; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;28,4537122174743
01056201028350010; AZUAY;01;02835;0010; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;13,4489470923685
01056101030190001; AZUAY;01;03019;0001; ; ;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;69,2247886591125
01056101030190002; AZUAY;01;03019;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;11,6798346159195
01056101030190005; AZUAY;01;03019;0005; ;1; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;31,588593540276
01056101030190006; AZUAY;01;03019;0006; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;28,3566999547887
01056101030190007; AZUAY;01;03019;0007; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;59,8826864813135
01056101030190008; AZUAY;01;03019;0008; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;86,7420215185069
01125001030480001; AZUAY;01;03048;0001; ;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;52,0645708542698
01125001030480002; AZUAY;01;03048;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;68,8544357845552
01125001030480003; AZUAY;01;03048;0003; ; ; ;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;70,301637717869
01015701031020001; AZUAY;01;03102;0001;1; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;19,4428224072637
01015701031020003; AZUAY;01;03102;0003; ; ; ; ;3; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;,163808886860668
01015701031020004; AZUAY;01;03102;0004; ; ;1; ; ;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;6;7;1,44786989332387
01015701031020009; AZUAY;01;03102;0009; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;31,9742397153264
01015701031020013; AZUAY;01;03102;0013; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;2,71811720765946
01015701031020015; AZUAY;01;03102;0015; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;4,95534178497075
