Identificador;ual_prov;ual_estr;ual_segm;al_ncues;eu_superficie_ha;eu_k1301;eu_k1302;eu_k1303;eu_k1304;eu_k1305;eu_k1306;eu_k1307;eu_k1308;eu_k1309;eu_k1310;eu_k1311;eu_k1312;eu_trs;eu_trc;eu_tro;eu_znd;eu_tn;fact_exp_fin
01095501130900004; AZUAY;01;13090;0004;4,07;2;2; ;1;1; ; ; ; ;1;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,15981004677302
01095501130900005; AZUAY;01;13090;0005;,42;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;65,1533058547085
01095501130900006; AZUAY;01;13090;0006;,44;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;87,0956601339143
01095501130900007; AZUAY;01;13090;0007;,2;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;69,3235598966822
01095501130900008; AZUAY;01;13090;0008;1,02;4;1;3;4;1;3; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,25582622889831
01095501130900009; AZUAY;01;13090;0009;,8;3;1;2;3;1;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;48,2676485733482
01095501130900010; AZUAY;01;13090;0010;6,48;3;1;2;3;1;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,1274914613073
01095501130900011; AZUAY;01;13090;0011;,19;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;76,5701258691026
01095501130900012; AZUAY;01;13090;0012;,1;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;52,4987418652711
01095501130900013; AZUAY;01;13090;0013;12,08;3;1;2;3;1;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,5691639329984
01016101131520001; AZUAY;01;13152;0001;8,41;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;58,3109782758343
01155001132420001; AZUAY;01;13242;0001;180,02;3;3; ;1;1; ;2;2; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,31813586092232
01016801132730001; AZUAY;01;13273;0001;46,45;3;1;2;1;1; ;2; ;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,6899042172189
01016801134220001; AZUAY;01;13422;0001;7,03;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;18,1332906831704
01016801134220002; AZUAY;01;13422;0002;1,84;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;80,1454917759893
01016801134220003; AZUAY;01;13422;0003;,56;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;53,9494024225018
01016801134220004; AZUAY;01;13422;0004;,72;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;59,5118481321446
01016801134220006; AZUAY;01;13422;0006;,11;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;17,8595880842665
01016801134220007; AZUAY;01;13422;0007;,37;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;87,554706339696
01016801134220008; AZUAY;01;13422;0008;1,01;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;59,7462243605719
01016801134220009; AZUAY;01;13422;0009;,16;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;79,8100342515657
01016801134220010; AZUAY;01;13422;0010;,17;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;69,9228427758612
01016801134220011; AZUAY;01;13422;0011;,25;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;60,4498787495435
01016801134220012; AZUAY;01;13422;0012;,52;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;84,251724947159
01016801134220013; AZUAY;01;13422;0013;,23;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;23,2295317987925
01016801134220014; AZUAY;01;13422;0014;1,12;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,8413263247686
01016801134220015; AZUAY;01;13422;0015;,13;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;38,0862213668115
01016801134220016; AZUAY;01;13422;0016;,27;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,9957793839267
01016101135260002; AZUAY;01;13526;0002;2,22;4;2;2;4;2;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;27,7080181095507
01016101135260004; AZUAY;01;13526;0004;2;3; ;3;3; ;3; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;52,721081669631
01016101135390001; AZUAY;01;13539;0001;4,07;3; ;3;3; ;3; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,27787998722436
01016101135390002; AZUAY;01;13539;0002;1,07;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13,2181928606747
01016101135390003; AZUAY;01;13539;0003;1,49;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;66,3567277481519
01016101135390004; AZUAY;01;13539;0004;2,28;4; ;4;4; ;4; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;43,0357641746051
01016101135390005; AZUAY;01;13539;0005;3,11;4; ;4;4; ;4; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,97189594690715
01016101135390006; AZUAY;01;13539;0006;11,07;4;2;2;4;2;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,81783302139473
01016101135390007; AZUAY;01;13539;0007;1,81;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,82714585901642
01016101135390008; AZUAY;01;13539;0008;1,47;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;37,1762808224019
01016101135390009; AZUAY;01;13539;0009;3,02;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,2609385938517
01016101135390010; AZUAY;01;13539;0010;,17;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;70,8207910638817
01016101135390011; AZUAY;01;13539;0011;,07;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;65,8012043606612
01016101135390012; AZUAY;01;13539;0012;11,14;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,759621775928711
01016101135390013; AZUAY;01;13539;0013;10,86;3;3; ;1;1; ; ; ; ;2;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,15515881873166
01016101135390014; AZUAY;01;13539;0014;,5;2;2; ;2;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;54,2243642274671
01016101135390015; AZUAY;01;13539;0015;,22;2; ;2;2; ;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;85,4665760856873
01016101135390016; AZUAY;01;13539;0016;7,85;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,4570840911897
01095501135470001; AZUAY;01;13547;0001;1,71;3; ;3;3; ;3; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;64,2974809989636
01095501135470002; AZUAY;01;13547;0002;,64;4;2;2;4;2;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,99849746741875
01095501135470003; AZUAY;01;13547;0003;,72;3; ;3;3; ;3; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;23,5982545257575
01095501135470004; AZUAY;01;13547;0004;,12;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;76,3809128907916
01095501135470005; AZUAY;01;13547;0005;,65;2;2; ;2;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,65611714296676
01095501135470006; AZUAY;01;13547;0006;2,48;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,75649974110096
01095501135470007; AZUAY;01;13547;0007;,83;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;27,8994273480162
01095501135470009; AZUAY;01;13547;0009;,5;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;70,1133639778412
01095501135470010; AZUAY;01;13547;0010;,2;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;39,6893143305084
01095501135470011; AZUAY;01;13547;0011;,23;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;87,7239461718376
01095501135470013; AZUAY;01;13547;0013;1,58;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,64491436562658
01095501135470014; AZUAY;01;13547;0014;2,91;3;1;2;3;1;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,5076831010877
01095501135470015; AZUAY;01;13547;0015;,79;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;45,0140438979856
01095501135470016; AZUAY;01;13547;0016;1,24;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,1012844891539
01095501135470018; AZUAY;01;13547;0018;1,22;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;22,9248822014313
01095501135470019; AZUAY;01;13547;0019;,51;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,5089951115632
01016801136370001; AZUAY;01;13637;0001;26;3;3; ;1;1; ;1;1; ;1;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;22,9740069490058
01017101136610001; AZUAY;01;13661;0001;7,1;2; ;2;1; ;1;1; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;9,91718723756096
01017101136610002; AZUAY;01;13661;0002;7,51;2; ;2;2; ;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;33,1090423933788
01017101136610003; AZUAY;01;13661;0003;17,41;3;3; ;1;1; ;2;2; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,6272781985378
01085301136860001; AZUAY;01;13686;0001;11,17;3;2;1;3;2;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;16,5515241792343
01085301136860002; AZUAY;01;13686;0002;20,72;4;1;3;4;1;3; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,4952532313584
01095001137570001; AZUAY;01;13757;0001;,18;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;93,328197976523
01095001137570002; AZUAY;01;13757;0002;,28;3;2;1;3;2;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;110,346231753891
01095001137570003; AZUAY;01;13757;0003;,37;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;58,1583760627157
01095001137570004; AZUAY;01;13757;0004;,12;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,56428280618836
01095001137570005; AZUAY;01;13757;0005;2,62;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;21,6393066244827
01095001137570006; AZUAY;01;13757;0006;1,83;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;39,6133814681994
01095001137570007; AZUAY;01;13757;0007;2,79;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;57,3860857738908
01095001137570008; AZUAY;01;13757;0008;,26;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,1849721994392
01095001137570009; AZUAY;01;13757;0009;5,99;4;1;3;4;1;3; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,0128717674158
01095001137570010; AZUAY;01;13757;0010;,73;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;46,9083592235269
01095001137570011; AZUAY;01;13757;0011;4,37;4;2;2;4;2;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;16,1598023956298
01095001137570012; AZUAY;01;13757;0012;4,61;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,45455528092336
01095001137570013; AZUAY;01;13757;0013;2,95;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,90551309229976
01095301137800001; AZUAY;01;13780;0001;2,1;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;31,4593656968589
01095301137800002; AZUAY;01;13780;0002;2,5;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13,4148520590386
01095301137800004; AZUAY;01;13780;0004;2,24;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;56,1949333236839
01095301137800005; AZUAY;01;13780;0005;1,1;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,65340855005135
01095301137800006; AZUAY;01;13780;0006;1;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;28,1582936908356
01095301137800007; AZUAY;01;13780;0007;2,05;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;69,1422795130461
01095301137800008; AZUAY;01;13780;0008;2,08;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,2812047158526
01115101139660001; AZUAY;01;13966;0001;3;2; ;2;2; ;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;33,7823762445297
01115101139660002; AZUAY;01;13966;0002;6,2;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,6016309185358
01115101139660003; AZUAY;01;13966;0003;2,02;3;3; ;3;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;63,6660024986142
01115101139660004; AZUAY;01;13966;0004;6,91;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;14,8799630608598
01115101139660005; AZUAY;01;13966;0005;,78;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,9204902838684
01017101140840001; AZUAY;01;14084;0001;7,43;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,33726102586114
01017101140840002; AZUAY;01;14084;0002;3,02;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;14,4361942421725
01017101140840003; AZUAY;01;14084;0003;25,4;4;3;1;4;3;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,8033669763555
01016801140890001; AZUAY;01;14089;0001;132;3;3; ;1;1; ;2;2; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,23606603983614
01016801140890002; AZUAY;01;14089;0002;1;4;3;1;1;1; ;3;2;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;73,4871558041986
01016801140890004; AZUAY;01;14089;0004;5,63;5;4;1;5;4;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,7616527090258
01095001141930003; AZUAY;01;14193;0003;5,17;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;21,9188187859952
01095501141970001; AZUAY;01;14197;0001;15,36;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,0122557423133
01085301142620001; AZUAY;01;14262;0001;18,49;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;30,7154606508951
01095001143340001; AZUAY;01;14334;0001;,26;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;170,07688179877
01095001143340002; AZUAY;01;14334;0002;,66;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;80,6665219870226
01095001143340005; AZUAY;01;14334;0005;,3;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;85,5799379459578
01095001143340006; AZUAY;01;14334;0006;,83;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;86,2990970883608
01095001143340007; AZUAY;01;14334;0007;,15;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;95,8694456757239
01095001143340008; AZUAY;01;14334;0008;,11;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;104,102057676519
01095001143340009; AZUAY;01;14334;0009;1,15;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;59,2620806343401
01095001143340010; AZUAY;01;14334;0010;1,94;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;14,4188271354512
01095001143340011; AZUAY;01;14334;0011;,16;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;44,5498343743401
01095001143340012; AZUAY;01;14334;0012;1,01;2; ;2;1; ;1;1; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;106,214273339521
01095001143340013; AZUAY;01;14334;0013;,4;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;59,8492536297887
01095001143340014; AZUAY;01;14334;0014;,37;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,3173074075696
01095001143340016; AZUAY;01;14334;0016;,07;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;96,2566852139409
01095001143340017; AZUAY;01;14334;0017;,07;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;95,1898007719145
01095001143410001; AZUAY;01;14341;0001;2,61;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,3077103345545
01095001143410002; AZUAY;01;14341;0002;5,11;3;1;2;3;1;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;30,7185717960996
01095001143410003; AZUAY;01;14341;0003;7;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;38,7411701754556
01095001143410004; AZUAY;01;14341;0004;4,25;6;3;3;6;3;3; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,2449326105188
01016101143830001; AZUAY;01;14383;0001;,54;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;29,1168046726664
01016101143830002; AZUAY;01;14383;0002;7,19;4;2;2;4;2;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,52372501243389
01016101143830003; AZUAY;01;14383;0003;,35;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;52,8685180857417
01016101143830004; AZUAY;01;14383;0004;3,43;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,4470005982241
01016101143830005; AZUAY;01;14383;0005;3,33;2; ;2;2; ;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,68868626311206
01016101143830006; AZUAY;01;14383;0006;,2;3;1;2;3;1;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;31,2271277466625
01016101143830007; AZUAY;01;14383;0007;4,26;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6,57780571794111
01016101143830008; AZUAY;01;14383;0008;10,2;3;1;2;3;1;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,71878332226452
01016101143830009; AZUAY;01;14383;0009;6,21;4;2;2;4;2;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,1639221259037
01016101143830010; AZUAY;01;14383;0010;2,51;4;2;2;4;2;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13,1021434334681
01016101143830011; AZUAY;01;14383;0011;,87;3;2;1;3;2;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;102,438802296941
01016101143830012; AZUAY;01;14383;0012;1,08;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;70,8685081226654
01016101143830013; AZUAY;01;14383;0013;5,01;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,18621730733871
01016101143830014; AZUAY;01;14383;0014;1,02;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;74,5427216490104
01016101143830015; AZUAY;01;14383;0015;,33;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;38,3940919514242
01016101143830016; AZUAY;01;14383;0016;,34;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;58,3275974914219
01016101143990001; AZUAY;01;14399;0001;12,04;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;42,4162210201682
01016101143990002; AZUAY;01;14399;0002;3,06;3;2;1;3;2;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;28,3135675164741
01085301144420001; AZUAY;01;14442;0001;37,8;4;2;2;4;2;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,8022270019617
01016101147510002; AZUAY;01;14751;0002;1,07;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;69,2730069770133
01016101147510003; AZUAY;01;14751;0003;9,11;3;2;1;3;2;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,62740595346363
01016101147510004; AZUAY;01;14751;0004;5;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;30,3138752965157
01016101147510005; AZUAY;01;14751;0005;1,5;2; ;2;2; ;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;49,8085408493347
01016101147510006; AZUAY;01;14751;0006;1,91;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;50,9694498765428
01016101147510007; AZUAY;01;14751;0007;,96;2; ;2;2; ;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;59,8851798931967
01095001148070001; AZUAY;01;14807;0001;,05;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;119,067942991525
01095001148070005; AZUAY;01;14807;0005;,49;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20,4392789996373
01095001148070006; AZUAY;01;14807;0006;,4;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;24,5901186612932
01095001148070007; AZUAY;01;14807;0007;,43;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;39,0040045551818
01095001148070008; AZUAY;01;14807;0008;,2;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;62,1224050390566
01095001148070010; AZUAY;01;14807;0010;,66;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;72,7154737822808
01095001148070011; AZUAY;01;14807;0011;,17;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;46,7713934368965
01095001148070012; AZUAY;01;14807;0012;,83;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;71,2239035221497
01095001148070013; AZUAY;01;14807;0013;1,4;3; ;3;3; ;3; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;43,9654444697963
01095001148070014; AZUAY;01;14807;0014;,66;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;39,0376807112175
01095001148070015; AZUAY;01;14807;0015;,39;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;72,4625248346216
01095001148070016; AZUAY;01;14807;0016;,13;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,55788765762
01095001148070018; AZUAY;01;14807;0018;,7;6;2;4;6;2;4; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,83495102360774
01095001148070019; AZUAY;01;14807;0019;,51;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,38563149366559
01095001148070020; AZUAY;01;14807;0020;,95;2;1;1;1;1; ; ; ; ;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,45632010070886
