Identificador;ual_prov;ual_estr;ual_segm;al_ncues;eu_superficie_ha;eu_k1301;eu_k1302;eu_k1303;eu_k1304;eu_k1305;eu_k1306;eu_k1307;eu_k1308;eu_k1309;eu_k1310;eu_k1311;eu_k1312;eu_trs;eu_trc;eu_tro;eu_znd;eu_tn;fact_exp_fin
01095001148070022; AZUAY;01;14807;0022;,78;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;23,7741069032331
01095001148070023; AZUAY;01;14807;0023;,59;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;66,4150875254581
01095001148070025; AZUAY;01;14807;0025;,3;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;102,143569823833
01095001148070026; AZUAY;01;14807;0026;,78;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,7099178990013
01095001148070027; AZUAY;01;14807;0027;,14;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;59,8753033915815
01095001148070028; AZUAY;01;14807;0028;,12;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;93,6371365127517
01095001148070029; AZUAY;01;14807;0029;,04;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;28,2072886128195
01095001148070030; AZUAY;01;14807;0030;,93;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,41127993850163
01095001148070031; AZUAY;01;14807;0031;,32;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;22,9806439580912
01016101148540001; AZUAY;01;14854;0001;15,01;3;1;2;3;1;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;33,2756907874394
01016101148540002; AZUAY;01;14854;0002;1,53;3;2;1;3;2;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;35,9482969218662
01016101148540003; AZUAY;01;14854;0003;1,03;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,6134025954513
01015201148580001; AZUAY;01;14858;0001;1,26;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,17101545189866
01015201148580002; AZUAY;01;14858;0002;1,51;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20,746147604598
01015201148580003; AZUAY;01;14858;0003;2,08;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20,6832177362326
01015201148580004; AZUAY;01;14858;0004;,14;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;123,211332949106
01015201148580005; AZUAY;01;14858;0005;3,33;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;45,5980462027263
01015201148580006; AZUAY;01;14858;0006;8,41;3;1;2;3;1;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,2080514291619
01015201148580007; AZUAY;01;14858;0007;6,01;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;28,7887171125611
01015201148580008; AZUAY;01;14858;0008;7;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,2753302918874
01017101149390001; AZUAY;01;14939;0001;6,58;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;16,8830179439075
01017101149390002; AZUAY;01;14939;0002;11,81;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;18,0862712442371
01017101149390003; AZUAY;01;14939;0003;7,72;4;2;2;4;2;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,56879139298908
01017101149390004; AZUAY;01;14939;0004;5,04;2; ;2;2; ;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,0045584964735
01017101149390005; AZUAY;01;14939;0005;12,03;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,361918367414984
01017101149390006; AZUAY;01;14939;0006;4,53;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,5562142295995
01095001150110004; AZUAY;01;15011;0004;1,19;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,6765040485237
01095001150110005; AZUAY;01;15011;0005;,42;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;75,712919170689
01095001150110006; AZUAY;01;15011;0006;,24;2;1;1;1; ;1;1;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;77,1406582742916
01095001150110007; AZUAY;01;15011;0007;,99;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;22,226200902972
01095001150110009; AZUAY;01;15011;0009;1,73;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,5153776993156
01095001150110012; AZUAY;01;15011;0012;3,09;2; ;2;2; ;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;30,3735495412781
01095001150110013; AZUAY;01;15011;0013;1,09;2; ;2;2; ;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,33746125334463
01095001150110014; AZUAY;01;15011;0014;,79;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;34,825449442564
01015201150910002; AZUAY;01;15091;0002;,26;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;64,3789881280821
01095001151920001; AZUAY;01;15192;0001;7,07;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;18,7976619413628
01095001151920003; AZUAY;01;15192;0003;,2;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;77,2547857536985
01095001151920005; AZUAY;01;15192;0005;,91;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,3639449563844
01095001151920007; AZUAY;01;15192;0007;2,09;3;2;1;1; ;1; ; ; ;2;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;16,5607666890913
01095001151920009; AZUAY;01;15192;0009;1,76;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,7272191267735
01095001151920011; AZUAY;01;15192;0011;1,26;2;2; ;1;1; ; ; ; ;1;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;27,6384021197878
01095001151920012; AZUAY;01;15192;0012;,65;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;25,3840070557355
01095001151920013; AZUAY;01;15192;0013;1,24;3;1;2;3;1;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;70,4379351318225
01095001151990001; AZUAY;01;15199;0001;,19;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;402,761656601621
01017101153080001; AZUAY;01;15308;0001;6,03;2;2; ;1;1; ;1;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,9391875662774
01017101153080002; AZUAY;01;15308;0002;10,06;2;1;1;1; ;1;1;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,55503146111426
01017101153080004; AZUAY;01;15308;0004;10,83;2;2; ;1;1; ;1;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;27,0376919517459
01017101153080005; AZUAY;01;15308;0005;4,91;2;1;1;1;1; ;1; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,65103086345875
01095101153700001; AZUAY;01;15370;0001;9,01;3;3; ;3;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;27,2065808611575
01095101153700002; AZUAY;01;15370;0002;6,02;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;31,8411062117194
01095101153700004; AZUAY;01;15370;0004;5,51;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;23,8378239200469
01095001153960001; AZUAY;01;15396;0001;1,53;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;31,5409758560262
01095001153960002; AZUAY;01;15396;0002;3,73;3;1;2;3;1;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;48,1334404204624
01095001153960003; AZUAY;01;15396;0003;3,65;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;34,9779470592229
01095401154140001; AZUAY;01;15414;0001;16,24;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;35,9367068906267
01095401155280002; AZUAY;01;15528;0002;1,76;3;1;2;3;1;2; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20,2428777103763
01015201156290001; AZUAY;01;15629;0001;3,86;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;53,6669242415923
01015201156290003; AZUAY;01;15629;0003;1,93;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;47,3325352595974
01015201156290005; AZUAY;01;15629;0005;10,11;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;14,6677244307029
01095101157500001; AZUAY;01;15750;0001;18,52;2;2; ;2;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,6974388427774
01095101157500002; AZUAY;01;15750;0002;,46;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;45,8242192502888
01095101157500003; AZUAY;01;15750;0003;4,37;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6,14341001151459
01095101157500004; AZUAY;01;15750;0004;8;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;22,706037707184
