Identificador;ual_prov;ual_estr;ual_segm;al_ncues;ad_numt;ad_numl;rc_clacul;ad_k604;ad_k605;ad_k606;ad_k607;ad_k609;ad_k610;ad_k611;ad_k612;ad_k614;ad_autoconsumo;ad_clavecu;ad_prod;ventas;ad_tn;fact_exp_fin
01155002001820002; AZUAY;02;00182;0002;1;2;LIMON;10;1000;UNIDAD;,05;FRUTA FRESCA; ; ; ; ;1000;LIMON;,0227272727272727; ;TOTAL NACIONAL;136,682774379156
01155002001820002; AZUAY;02;00182;0002;1;3;PLATANO;5;5;RACIMO;30;FRUTA FRESCA; ; ; ; ;5;PLATANO;,0681818181818182; ;TOTAL NACIONAL;136,682774379156
01155002001820002; AZUAY;02;00182;0002;2;4;OTROS BANANOS;15;15;RACIMO;25;FRUTA FRESCA; ; ; ; ;15;BANANO DE EXPORTACION;,170454545454545; ;TOTAL NACIONAL;141,892152316003
01155002001820003; AZUAY;02;00182;0003;1;1;MANDARINA;2;200;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;200;MANDARINA;,0272727272727273; ;TOTAL NACIONAL;45,7828124137975
01155002001820003; AZUAY;02;00182;0003;2;2;NARANJA;3;600;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;600;NARANJA;,0818181818181818; ;TOTAL NACIONAL;21,5378917203519
01155002001820005; AZUAY;02;00182;0005;1;1;MANDARINA;5;200;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;200;MANDARINA;,0272727272727273; ;TOTAL NACIONAL;5,98256361555313
01155002001820005; AZUAY;02;00182;0005;1;2;MANDARINA;5;300;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;300;MANDARINA;,0409090909090909; ;TOTAL NACIONAL;5,98256361555313
01155002001820005; AZUAY;02;00182;0005;1;3;NARANJA;5;500;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;500;NARANJA;,0681818181818182; ;TOTAL NACIONAL;5,98256361555313
01015703000150004; AZUAY;03;00015;0004;1;1;NARANJA;2;200;UNIDAD;,08;FRUTA FRESCA; ; ; ; ;200;NARANJA;,00727272727272727; ;TOTAL NACIONAL;86,970330644852
01015703000150004; AZUAY;03;00015;0004;2;2;GUABA;3;600;UNIDAD;,11;FRUTA FRESCA;500;UNIDAD;,11;FRUTA FRESCA;100;GUABA;,03;,025;TOTAL NACIONAL;93,3749732302397
01015703000150004; AZUAY;03;00015;0004;3;3;MANGO;3;375;UNIDAD;,05;FRUTA FRESCA;100;UNIDAD;,05;FRUTA FRESCA;275;MANGO;,00852272727272727;,00227272727272727;TOTAL NACIONAL;88,0970376781867
01015703000150006; AZUAY;03;00015;0006;3;1;MANGO;2;340;UNIDAD;,33;FRUTA FRESCA;300;UNIDAD;,33;FRUTA FRESCA;40;MANGO;,051;,045;TOTAL NACIONAL;476,282136064371
01015703000150006; AZUAY;03;00015;0006;3;2;OTROS BANANOS;3;3;RACIMO;30;FRUTA FRESCA;3;RACIMO;30;FRUTA FRESCA; ;BANANO DE EXPORTACION;,0409090909090909;,0409090909090909;TOTAL NACIONAL;476,282136064371
01015703000150011; AZUAY;03;00015;0011;1;1;LIMON;12;15;SACO;110;FRUTA FRESCA;13;SACO;110;FRUTA FRESCA;2;LIMON;,75;,65;TOTAL NACIONAL;82,5791485747252
01015754000994062; AZUAY;54;00099;4062;3;1;MANGO;6;6;CAJA;20;FRUTA FRESCA; ; ; ; ;6;MANGO;,0545454545454545; ;TOTAL NACIONAL;1
01015754000994062; AZUAY;54;00099;4062;3;2;MANDARINA;7;7;SACO;30;FRUTA FRESCA; ; ; ; ;7;MANDARINA;,0954545454545455; ;TOTAL NACIONAL;1
01015754000994062; AZUAY;54;00099;4062;3;3;NARANJA;7;7;SACO;30;FRUTA FRESCA; ; ; ; ;7;NARANJA;,0954545454545455; ;TOTAL NACIONAL;1
01015754000994062; AZUAY;54;00099;4062;3;4;GUANABANA;4;100;UNIDAD;,5;FRUTA FRESCA; ; ; ; ;100;GUANABANA;,0227272727272727; ;TOTAL NACIONAL;1
01015754000994070; AZUAY;54;00099;4070;1;1;NARANJA;15;5;SACO;30;FRUTA FRESCA; ; ; ; ;5;NARANJA;,0681818181818182; ;TOTAL NACIONAL;1
01015754000994070; AZUAY;54;00099;4070;1;2;AGUACATE;10;4;CANASTA;20;FRUTA FRESCA; ; ; ; ;4;AGUACATE;,0363636363636364; ;TOTAL NACIONAL;1
01015754000994070; AZUAY;54;00099;4070;1;3;MANDARINA;6;3;SACO;30;FRUTA FRESCA; ; ; ; ;3;MANDARINA;,0409090909090909; ;TOTAL NACIONAL;1
01015754000994070; AZUAY;54;00099;4070;1;4;COCO (COCOTERO);20;50;UNIDAD;1;FRUTA FRESCA; ; ; ; ;50;COCO (COCOTERO);,0227272727272727; ;TOTAL NACIONAL;1
01015754000994070; AZUAY;54;00099;4070;1;5;CIRUELO;6;2;CAJA;5;FRUTA FRESCA; ; ; ; ;2;CIRUELO;,00454545454545455; ;TOTAL NACIONAL;1
01015754000994070; AZUAY;54;00099;4070;1;6;MANGO;6;3;CAJA;12;FRUTA FRESCA; ; ; ; ;3;MANGO;,0163636363636364; ;TOTAL NACIONAL;1
01015754000994070; AZUAY;54;00099;4070;1;7;ZAPOTE;8;4;CAJA;20;FRUTA FRESCA; ; ; ; ;4;ZAPOTE;,0363636363636364; ;TOTAL NACIONAL;1
02016001000860005;BOLÍVAR;01;00086;0005;1;1;PLATANO;5;70;RACIMO;30;FRUTA FRESCA; ; ; ; ;70;PLATANO;,954545454545455; ;TOTAL NACIONAL;81,6740834435046
02016001000860005;BOLÍVAR;01;00086;0005;1;2;NARANJA;1;600;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;600;NARANJA;,0818181818181818; ;TOTAL NACIONAL;81,6740834435046
02016001000860005;BOLÍVAR;01;00086;0005;1;3;LIMON;1;600;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;600;LIMON;,0272727272727273; ;TOTAL NACIONAL;81,6740834435046
02015101002060001;BOLÍVAR;01;00206;0001;1;1;LIMON;3;100;UNIDAD;,03;FRUTA FRESCA; ; ; ; ;100;LIMON;,00136363636363636; ;TOTAL NACIONAL;10,4155859966364
02015101004620003;BOLÍVAR;01;00462;0003;2;1;NARANJILLA;10;1;SACO;25;FRUTA FRESCA; ; ; ; ;1;OTROS PERMANENTES;,0113636363636364; ;TOTAL NACIONAL;5,61736695130631
02015101004620004;BOLÍVAR;01;00462;0004;1;1;NARANJILLA;20;2;SACO;25;FRUTA FRESCA; ; ; ; ;2;OTROS PERMANENTES;,0227272727272727; ;TOTAL NACIONAL;,974829218626695
02016001010680002;BOLÍVAR;01;01068;0002;1;1;PLATANO;30;30;RACIMO;8;FRUTA FRESCA; ; ; ; ;30;PLATANO;,109090909090909; ;TOTAL NACIONAL;75,1187148720088
02015501024710001;BOLÍVAR;01;02471;0001;1;1;OTROS BANANOS;50;50;RACIMO;15;FRUTA FRESCA; ; ; ; ;50;BANANO DE EXPORTACION;,340909090909091; ;TOTAL NACIONAL;13,3680226251537
02045001047750001;BOLÍVAR;01;04775;0001;1;1;NARANJA;15;1500;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;1500;NARANJA;,0681818181818182; ;TOTAL NACIONAL;36,0789228479317
02045001050030004;BOLÍVAR;01;05003;0004;1;1;PLATANO;500;500;RACIMO;25;FRUTA FRESCA;500;RACIMO;25;FRUTA FRESCA; ;PLATANO;5,68181818181818;5,68181818181818;TOTAL NACIONAL;1,41553326121418
02045001050030004;BOLÍVAR;01;05003;0004;1;2;OTROS BANANOS;500;500;RACIMO;30;FRUTA FRESCA;500;RACIMO;30;FRUTA FRESCA; ;BANANO DE EXPORTACION;6,81818181818182;6,81818181818182;TOTAL NACIONAL;1,41553326121418
02045001050110002;BOLÍVAR;01;05011;0002;1;1;NARANJA;20;1000;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;1000;NARANJA;,0454545454545455; ;TOTAL NACIONAL;63,3229891116322
02045001050110004;BOLÍVAR;01;05011;0004;1;1;NARANJA;200;3000;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;3000;NARANJA;,136363636363636; ;TOTAL NACIONAL;6,02430917816594
02045001050110006;BOLÍVAR;01;05011;0006;1;1;OTROS BANANOS;70;70;RACIMO;25;FRUTA FRESCA; ; ; ; ;70;BANANO DE EXPORTACION;,795454545454545; ;TOTAL NACIONAL;5,08414331710068
02045001050110006;BOLÍVAR;01;05011;0006;1;2;NARANJA;10;1200;UNIDAD;,05;FRUTA FRESCA; ; ; ; ;1200;NARANJA;,0272727272727273; ;TOTAL NACIONAL;5,08414331710068
02045001051260001;BOLÍVAR;01;05126;0001;1;1;OTROS BANANOS;1100;1100;RACIMO;20;FRUTA FRESCA;800;RACIMO;20;FRUTA FRESCA;300;BANANO DE EXPORTACION;10;7,27272727272727;TOTAL NACIONAL;30,8334871373036
02045001051260002;BOLÍVAR;01;05126;0002;1;1;OTROS BANANOS;400;400;RACIMO;20;FRUTA FRESCA;400;RACIMO;20;FRUTA FRESCA; ;BANANO DE EXPORTACION;3,63636363636364;3,63636363636364;TOTAL NACIONAL;18,6571481009387
02045001051260003;BOLÍVAR;01;05126;0003;1;1;OTROS BANANOS;500;500;RACIMO;20;FRUTA FRESCA;500;RACIMO;20;FRUTA FRESCA; ;BANANO DE EXPORTACION;4,54545454545455;4,54545454545455;TOTAL NACIONAL;37,6730875115108
02045001051260004;BOLÍVAR;01;05126;0004;1;1;OTROS BANANOS;200;200;RACIMO;20;FRUTA FRESCA;200;RACIMO;20;FRUTA FRESCA; ;BANANO DE EXPORTACION;1,81818181818182;1,81818181818182;TOTAL NACIONAL;69,6596712476993
02045001051260004;BOLÍVAR;01;05126;0004;2;2;OTROS BANANOS;1200;1200;RACIMO;20;FRUTA FRESCA;1200;RACIMO;20;FRUTA FRESCA; ;BANANO DE EXPORTACION;10,9090909090909;10,9090909090909;TOTAL NACIONAL;56,0696041894139
02015001072790001;BOLÍVAR;01;07279;0001;1;1;MANZANA;3;300;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;300;MANZANA;,0272727272727273; ;TOTAL NACIONAL;34,7067480046892
02015001072790012;BOLÍVAR;01;07279;0012;1;1;BABACO;4;30;UNIDAD;1,05;FRUTA FRESCA; ; ; ; ;30;OTROS PERMANENTES;,0143181818181818; ;TOTAL NACIONAL;89,1870540979904
02015001072790012;BOLÍVAR;01;07279;0012;1;2;OTROS PERMANENTES;5;30;UNIDAD;,5;SIN ESTADO; ; ; ; ;30;OTROS PERMANENTES;,00681818181818182; ;TOTAL NACIONAL;89,1870540979904
02065001087360001;BOLÍVAR;01;08736;0001;1;1;NARANJA;20;10000;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;10000;NARANJA;,909090909090909; ;TOTAL NACIONAL;8,41718521727404
02065001089510001;BOLÍVAR;01;08951;0001;1;1;NARANJA;20;10000;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;10000;NARANJA;1,13636363636364; ;TOTAL NACIONAL;16,2986029636502
02035501094330001;BOLÍVAR;01;09433;0001;1;1;NARANJA;4;400;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;400;NARANJA;,0454545454545455; ;TOTAL NACIONAL;49,2552914988697
02065001094600001;BOLÍVAR;01;09460;0001;1;1;NARANJA;100;10000;UNIDAD;,15;FRUTA FRESCA; ; ; ; ;10000;NARANJA;,681818181818182; ;TOTAL NACIONAL;53,7058689891559
02065001094600001;BOLÍVAR;01;09460;0001;1;2;MANDARINA;10;500;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;500;MANDARINA;,0454545454545455; ;TOTAL NACIONAL;53,7058689891559
02065001094600001;BOLÍVAR;01;09460;0001;1;3;PLATANO;30;30;RACIMO;15;FRUTA FRESCA; ; ; ; ;30;PLATANO;,204545454545455; ;TOTAL NACIONAL;53,7058689891559
02065001094600002;BOLÍVAR;01;09460;0002;1;1;NARANJA;20;2000;UNIDAD;,03;FRUTA FRESCA; ; ; ; ;2000;NARANJA;,0272727272727273; ;TOTAL NACIONAL;37,4135843630338
02065001094600004;BOLÍVAR;01;09460;0004;1;1;ORITO;300;300;RACIMO;20;FRUTA FRESCA; ; ; ; ;300;ORITO;2,72727272727273; ;TOTAL NACIONAL;36,1939195651918
02065001094600004;BOLÍVAR;01;09460;0004;2;2;ORITO;50;50;RACIMO;20;FRUTA FRESCA; ; ; ; ;50;ORITO;,454545454545455; ;TOTAL NACIONAL;121,660233832578
02065001094600005;BOLÍVAR;01;09460;0005;1;1;ORITO;100;100;RACIMO;15;FRUTA FRESCA; ; ; ; ;100;ORITO;,681818181818182; ;TOTAL NACIONAL;18,7654624585639
02065001094600005;BOLÍVAR;01;09460;0005;2;2;NARANJA;10;2000;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;2000;NARANJA;,181818181818182; ;TOTAL NACIONAL;167,282499155635
02065001094600006;BOLÍVAR;01;09460;0006;1;1;ORITO;50;50;RACIMO;12;FRUTA FRESCA; ; ; ; ;50;ORITO;,272727272727273; ;TOTAL NACIONAL;37,2059818442522
02065001094600007;BOLÍVAR;01;09460;0007;1;1;ORITO;80;80;RACIMO;12;FRUTA FRESCA; ; ; ; ;80;ORITO;,436363636363636; ;TOTAL NACIONAL;7,22998337148132
02065001097190001;BOLÍVAR;01;09719;0001;1;1;NARANJA;10;1000;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;1000;NARANJA;,113636363636364; ;TOTAL NACIONAL;43,9093245167776
02065001097190001;BOLÍVAR;01;09719;0001;1;2;LIMON;5;500;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;500;LIMON;,0568181818181818; ;TOTAL NACIONAL;43,9093245167776
02065001097190001;BOLÍVAR;01;09719;0001;1;3;ORITO;50;50;RACIMO;20;FRUTA FRESCA; ; ; ; ;50;ORITO;,454545454545455; ;TOTAL NACIONAL;43,9093245167776
02065001097190002;BOLÍVAR;01;09719;0002;2;1;ORITO;50;50;RACIMO;15;FRUTA FRESCA; ; ; ; ;50;ORITO;,340909090909091; ;TOTAL NACIONAL;21,5077337732308
02065001097190002;BOLÍVAR;01;09719;0002;2;2;NARANJA;10;1000;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;1000;NARANJA;,113636363636364; ;TOTAL NACIONAL;21,5077337732308
02065001097190002;BOLÍVAR;01;09719;0002;2;3;LIMON;10;1000;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;1000;LIMON;,113636363636364; ;TOTAL NACIONAL;21,5077337732308
02065001097190003;BOLÍVAR;01;09719;0003;1;1;ORITO;40;40;RACIMO;15;FRUTA FRESCA; ; ; ; ;40;ORITO;,272727272727273; ;TOTAL NACIONAL;36,5585901830694
02065001097190003;BOLÍVAR;01;09719;0003;1;2;NARANJA;8;800;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;800;NARANJA;,0909090909090909; ;TOTAL NACIONAL;36,5585901830694
02065001097190003;BOLÍVAR;01;09719;0003;1;3;LIMON;4;500;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;500;LIMON;,0568181818181818; ;TOTAL NACIONAL;36,5585901830694
02065001097190004;BOLÍVAR;01;09719;0004;1;1;ORITO;30;30;RACIMO;15;FRUTA FRESCA; ; ; ; ;30;ORITO;,204545454545455; ;TOTAL NACIONAL;5,3195499637576
02065001097190004;BOLÍVAR;01;09719;0004;1;2;NARANJA;4;400;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;400;NARANJA;,0454545454545455; ;TOTAL NACIONAL;5,3195499637576
02035501097500001;BOLÍVAR;01;09750;0001;1;1;OTROS BANANOS;30;30;RACIMO;20;FRUTA FRESCA; ; ; ; ;30;BANANO DE EXPORTACION;,272727272727273; ;TOTAL NACIONAL;28,0546508183728
02035501097500001;BOLÍVAR;01;09750;0001;1;2;NARANJA;3;300;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;300;NARANJA;,0340909090909091; ;TOTAL NACIONAL;28,0546508183728
02035001097720002;BOLÍVAR;01;09772;0002;1;1;LIMON;4;4000;UNIDAD;,05;FRUTA FRESCA; ; ; ; ;4000;LIMON;,0909090909090909; ;TOTAL NACIONAL;80,3218658264287
02065001099130002;BOLÍVAR;01;09913;0002;3;1;BANANO DE EXPORTACION;200;200;RACIMO;15;FRUTA FRESCA; ; ; ; ;200;BANANO DE EXPORTACION;1,36363636363636; ;TOTAL NACIONAL;23,829397997177
02065001100990002;BOLÍVAR;01;10099;0002;1;1;NARANJA;6;600;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;600;NARANJA;,0681818181818182; ;TOTAL NACIONAL;59,7901498493113
02065001100990002;BOLÍVAR;01;10099;0002;1;2;LIMON;3;300;UNIDAD;,15;FRUTA FRESCA; ; ; ; ;300;LIMON;,0204545454545455; ;TOTAL NACIONAL;59,7901498493113
02065001100990002;BOLÍVAR;01;10099;0002;1;3;PLATANO;40;40;RACIMO;15;FRUTA FRESCA; ; ; ; ;40;PLATANO;,272727272727273; ;TOTAL NACIONAL;59,7901498493113
02065001101090001;BOLÍVAR;01;10109;0001;3;1;ORITO;100;100;RACIMO;15;FRUTA FRESCA; ; ; ; ;100;ORITO;,681818181818182; ;TOTAL NACIONAL;17,2866349256051
02065001101090001;BOLÍVAR;01;10109;0001;3;2;NARANJA;7;700;UNIDAD;,05;FRUTA FRESCA; ; ; ; ;700;NARANJA;,0159090909090909; ;TOTAL NACIONAL;17,2866349256051
02065001101090002;BOLÍVAR;01;10109;0002;2;1;NARANJA;8;800;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;800;NARANJA;,0909090909090909; ;TOTAL NACIONAL;18,7243416228833
02065001101090002;BOLÍVAR;01;10109;0002;3;2;NARANJA;5;500;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;500;NARANJA;,0568181818181818; ;TOTAL NACIONAL;21,2798722020858
02035501113680001;BOLÍVAR;01;11368;0001;1;1;NARANJA;10;5000;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;5000;NARANJA;,681818181818182; ;TOTAL NACIONAL;52,131063181723
02055001120500001;BOLÍVAR;01;12050;0001;4;1;AGUACATE;3;600;UNIDAD;,25;FRUTA FRESCA;25;UNIDAD;,25;FRUTA FRESCA;575;AGUACATE;,0681818181818182;,00284090909090909;TOTAL NACIONAL;9,04378827619951
02055001120500001;BOLÍVAR;01;12050;0001;4;2;NARANJA;6;60;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;60;NARANJA;,00681818181818182; ;TOTAL NACIONAL;9,04378827619951
02055001120500001;BOLÍVAR;01;12050;0001;4;3;OTROS PERMANENTES;3;600;UNIDAD;,33;SIN ESTADO;200;UNIDAD;,33;SIN ESTADO;400;OTROS PERMANENTES;,09;,03;TOTAL NACIONAL;9,04378827619951
02055001120500007;BOLÍVAR;01;12050;0007;1;1;AGUACATE;18;360;UNIDAD;,5;FRUTA FRESCA; ; ; ; ;360;AGUACATE;,0818181818181818; ;TOTAL NACIONAL;36,6689231543606
02055101125470001;BOLÍVAR;01;12547;0001;1;1;PLATANO;100;100;RACIMO;15;FRUTA FRESCA; ; ; ; ;100;PLATANO;,681818181818182; ;TOTAL NACIONAL;25,2979670120042
02055101125470001;BOLÍVAR;01;12547;0001;1;2;NARANJA;20;2000;UNIDAD;,05;FRUTA FRESCA; ; ; ; ;2000;NARANJA;,0454545454545455; ;TOTAL NACIONAL;25,2979670120042
02055101125470001;BOLÍVAR;01;12547;0001;2;3;PLATANO;10;10;RACIMO;15;FRUTA FRESCA; ; ; ; ;10;PLATANO;,0681818181818182; ;TOTAL NACIONAL;17,5130776985226
02055101125470002;BOLÍVAR;01;12547;0002;2;1;PLATANO;50;50;RACIMO;15;FRUTA FRESCA; ; ; ; ;50;PLATANO;,340909090909091; ;TOTAL NACIONAL;11,7723483641114
02055101125470002;BOLÍVAR;01;12547;0002;2;2;NARANJA;7;700;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;700;NARANJA;,0795454545454545; ;TOTAL NACIONAL;11,7723483641114
02055101125470003;BOLÍVAR;01;12547;0003;1;1;PLATANO;30;30;RACIMO;15;FRUTA FRESCA; ; ; ; ;30;PLATANO;,204545454545455; ;TOTAL NACIONAL;7,96505141154573
02055101125470003;BOLÍVAR;01;12547;0003;1;2;OTROS BANANOS;40;40;RACIMO;20;FRUTA FRESCA; ; ; ; ;40;BANANO DE EXPORTACION;,363636363636364; ;TOTAL NACIONAL;7,96505141154573
02055101125470003;BOLÍVAR;01;12547;0003;1;3;NARANJA;7;700;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;700;NARANJA;,0795454545454545; ;TOTAL NACIONAL;7,96505141154573
02055101127710001;BOLÍVAR;01;12771;0001;1;1;PLATANO;50;50;RACIMO;15;FRUTA FRESCA; ; ; ; ;50;PLATANO;,340909090909091; ;TOTAL NACIONAL;10,6634651092719
02055101129830001;BOLÍVAR;01;12983;0001;1;1;PLATANO;20;20;RACIMO;15;FRUTA FRESCA; ; ; ; ;20;PLATANO;,136363636363636; ;TOTAL NACIONAL;39,7232491748299
02055101129830001;BOLÍVAR;01;12983;0001;1;2;OTROS BANANOS;15;15;RACIMO;20;FRUTA FRESCA; ; ; ; ;15;BANANO DE EXPORTACION;,136363636363636; ;TOTAL NACIONAL;39,7232491748299
02055101129830001;BOLÍVAR;01;12983;0001;1;3;LIMON;3;300;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;300;LIMON;,0340909090909091; ;TOTAL NACIONAL;39,7232491748299
02055101129840001;BOLÍVAR;01;12984;0001;1;1;PLATANO;20;20;RACIMO;15;FRUTA FRESCA; ; ; ; ;20;PLATANO;,136363636363636; ;TOTAL NACIONAL;4,28362454723461
02055101129840001;BOLÍVAR;01;12984;0001;1;2;OTROS BANANOS;15;15;RACIMO;20;FRUTA FRESCA; ; ; ; ;15;BANANO DE EXPORTACION;,136363636363636; ;TOTAL NACIONAL;4,28362454723461
02055101129840001;BOLÍVAR;01;12984;0001;1;3;LIMON;3;300;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;300;LIMON;,0340909090909091; ;TOTAL NACIONAL;4,28362454723461
02055201135650001;BOLÍVAR;01;13565;0001;1;1;PLATANO;40;30;RACIMO;20;FRUTA FRESCA; ; ; ; ;30;PLATANO;,272727272727273; ;TOTAL NACIONAL;4,56801545465568
02055401147110001;BOLÍVAR;01;14711;0001;4;1;OTROS BANANOS;10;10;RACIMO;35;FRUTA FRESCA; ; ; ; ;10;BANANO DE EXPORTACION;,159090909090909; ;TOTAL NACIONAL;22,6010985823182
02055401147110001;BOLÍVAR;01;14711;0001;4;2;MORA;20;4;CAJA;3;FRUTA FRESCA; ; ; ; ;4;OTROS PERMANENTES;,00545454545454545; ;TOTAL NACIONAL;22,6010985823182
02055401147110001;BOLÍVAR;01;14711;0001;4;3;AGUACATE;4;800;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;800;AGUACATE;,109090909090909; ;TOTAL NACIONAL;22,6010985823182
02055401147110002;BOLÍVAR;01;14711;0002;1;1;NARANJILLA;4;200;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;200;OTROS PERMANENTES;,0181818181818182; ;TOTAL NACIONAL;,40497712854684
02025001153620003;BOLÍVAR;01;15362;0003;4;1;LIMON;2;2000;UNIDAD;,05;FRUTA FRESCA; ; ; ; ;2000;LIMON;,0454545454545455; ;TOTAL NACIONAL;5,08471283619921
02025001153620004;BOLÍVAR;01;15362;0004;3;1;PLATANO;5;5;RACIMO;15;FRUTA FRESCA; ; ; ; ;5;PLATANO;,0340909090909091; ;TOTAL NACIONAL;7,01960356147856
02055301155070001;BOLÍVAR;01;15507;0001;1;1;OTROS BANANOS;10;10;RACIMO;15;FRUTA FRESCA; ; ; ; ;10;BANANO DE EXPORTACION;,0681818181818182; ;TOTAL NACIONAL;26,6087431485709
02055301156900001;BOLÍVAR;01;15690;0001;3;1;PLATANO;10;10;RACIMO;100;FRUTA FRESCA; ; ; ; ;10;PLATANO;,454545454545455; ;TOTAL NACIONAL;30,7107655814687
02055301156900001;BOLÍVAR;01;15690;0001;3;2;NARANJA;2;400;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;400;NARANJA;,0363636363636364; ;TOTAL NACIONAL;30,7107655814687
02055301156900001;BOLÍVAR;01;15690;0001;3;3;MANDARINA;1;200;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;200;MANDARINA;,00909090909090909; ;TOTAL NACIONAL;30,7107655814687
02025001157750001;BOLÍVAR;01;15775;0001;1;1;LIMON;4;200;UNIDAD;,15;FRUTA FRESCA; ; ; ; ;200;LIMON;,0136363636363636; ;TOTAL NACIONAL;11,3837755058716
02025001157750002;BOLÍVAR;01;15775;0002;5;1;LIMON;10;5000;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;5000;LIMON;,227272727272727; ;TOTAL NACIONAL;80,7339435733975
02025001157750002;BOLÍVAR;01;15775;0002;5;2;AGUACATE;4;1600;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;1600;AGUACATE;,218181818181818; ;TOTAL NACIONAL;80,7339435733975
02025001163490005;BOLÍVAR;01;16349;0005;1;1;LIMON;1;500;UNIDAD;,05;FRUTA FRESCA; ; ; ; ;500;LIMON;,0113636363636364; ;TOTAL NACIONAL;67,5246075387573
02025001163490011;BOLÍVAR;01;16349;0011;1;1;LIMON;3;1500;UNIDAD;,05;FRUTA FRESCA; ; ; ; ;1500;LIMON;,0340909090909091; ;TOTAL NACIONAL;17,6750017881332
02025001163490011;BOLÍVAR;01;16349;0011;1;2;AGUACATE;3;1200;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;1200;AGUACATE;,0545454545454545; ;TOTAL NACIONAL;17,6750017881332
02016002000230001;BOLÍVAR;02;00023;0001;1;1;MANGO;3;400;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;400;MANGO;,0363636363636364; ;TOTAL NACIONAL;7,87078530457241
02016002000230001;BOLÍVAR;02;00023;0001;1;2;MANDARINA;6;1000;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;1000;MANDARINA;,0909090909090909; ;TOTAL NACIONAL;7,87078530457241
02016002000230002;BOLÍVAR;02;00023;0002;1;1;MANDARINA;50;5000;UNIDAD;,03;FRUTA FRESCA;4000;UNIDAD;,03;FRUTA FRESCA;1000;MANDARINA;,0681818181818182;,0545454545454545;TOTAL NACIONAL;17,3264774908609
02016002000230002;BOLÍVAR;02;00023;0002;1;2;LIMON;2;3000;UNIDAD;,03;FRUTA FRESCA; ; ; ; ;3000;LIMON;,0409090909090909; ;TOTAL NACIONAL;17,3264774908609
02016002000230002;BOLÍVAR;02;00023;0002;2;3;PAPAYA;1;30;UNIDAD;1;FRUTA FRESCA; ; ; ; ;30;PAPAYA;,0136363636363636; ;TOTAL NACIONAL;22,9326811170194
02016002000230002;BOLÍVAR;02;00023;0002;2;4;OTROS PERMANENTES;2;10000;UNIDAD;,05;SIN ESTADO; ; ; ; ;10000;OTROS PERMANENTES;,227272727272727; ;TOTAL NACIONAL;22,9326811170194
02016002000230004;BOLÍVAR;02;00023;0004;1;1;AGUACATE;1;60;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;60;AGUACATE;,00545454545454545; ;TOTAL NACIONAL;12,586130429082
02016002000230004;BOLÍVAR;02;00023;0004;1;2;MANDARINA;2;20;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;20;MANDARINA;,00272727272727273; ;TOTAL NACIONAL;12,586130429082
02016002000230004;BOLÍVAR;02;00023;0004;1;3;LIMON;10;100;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;100;LIMON;,00454545454545455; ;TOTAL NACIONAL;12,586130429082
