Identificador;ual_prov;ual_estr;ual_segm;al_ncues;oe_superficie_ha;oe_k1101;oe_k1102;oe_k1103;oe_k1104;oe_trs;oe_trc;oe_tro;oe_znd;oe_tn;fact_exp_fin
01095001143410002; AZUAY;01;14341;0002;5,11; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;30,7185717960996
01095001143410004; AZUAY;01;14341;0004;4,25; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,2449326105188
01085301144420001; AZUAY;01;14442;0001;37,8; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,8022270019617
01016101147510003; AZUAY;01;14751;0003;9,11; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,62740595346363
01016101147510004; AZUAY;01;14751;0004;5; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;30,3138752965157
01095001148070001; AZUAY;01;14807;0001;,05; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;119,067942991525
01016101148540001; AZUAY;01;14854;0001;15,01; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;33,2756907874394
01015201148580002; AZUAY;01;14858;0002;1,51; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20,746147604598
01015201148580005; AZUAY;01;14858;0005;3,33; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;45,5980462027263
01015201148580006; AZUAY;01;14858;0006;8,41; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10,2080514291619
01017101149390002; AZUAY;01;14939;0002;11,81;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;18,0862712442371
01017101153080001; AZUAY;01;15308;0001;6,03; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,9391875662774
01017101153080002; AZUAY;01;15308;0002;10,06; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,55503146111426
01017101153080004; AZUAY;01;15308;0004;10,83;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;27,0376919517459
01095401155280002; AZUAY;01;15528;0002;1,76; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20,2428777103763
01015201156290005; AZUAY;01;15629;0005;10,11; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;14,6677244307029
01095101157500003; AZUAY;01;15750;0003;4,37; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6,14341001151459
01015201166390001; AZUAY;01;16639;0001;22,52; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,5241643283371
01075001167260001; AZUAY;01;16726;0001;12,01; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;43,4080288631701
01025201167470001; AZUAY;01;16747;0001;55,02; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,29589946962953
01025201167470002; AZUAY;01;16747;0002;10,55; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13,3551721206924
01025001167550001; AZUAY;01;16755;0001;8,17; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;18,5298195947107
01025001167550005; AZUAY;01;16755;0005;1; ;4; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;43,5361452472846
01016101170850001; AZUAY;01;17085;0001;2,35; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;21,2751444425902
01016101170850003; AZUAY;01;17085;0003;14,96; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,62012610486132
01016101170850004; AZUAY;01;17085;0004;6,68; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6,81883134025291
01016101170850006; AZUAY;01;17085;0006;8,67; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20,5027698193132
01015201172420002; AZUAY;01;17242;0002;4,56; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;70,0189903661975
