Identificador;ual_prov;ual_estr;ual_segm;al_ncues;fp_numl;rc_clacul;fp_numt;fp_k704;fp_k705;fp_k706ha;fp_k707ha;fp_k708;fp_k709;fp_k710;fp_k711;fp_k712;fp_venmernac;fp_venmerint;fp_prepasuelo;fp_poda;fp_tutoreo;fp_despunte;fp_riego;fp_superf_regada_ha;fp_porc_surc;fp_porc_aspe;fp_porc_micr;fp_porc_gote;fp_porc_nebu;fp_porc_otro;fp_aferti;fp_forg;fp_cant1_fo;fp_umed1_fo;fp_cant2_fo;fp_umed2_fo;fp_cant3_fo;fp_umed3_fo;fp_fqui;fp_cantidad_npk_fq;fp_umed_npk_fq;fp_cantidad_nit_fq;fp_umed_nit_fq;fp_cantidad_fq;fp_umed_fq;fp_cantidad_pot_fq;fp_umed_pot_fq;fp_apliplagui;fp_porg;fp_cantidad_po;fp_umedida_po;fp_pqui;fp_cantidad_her_pq;fp_umed_her_pq;fp_color_her_pq;fp_cantidad_ins_pq;fp_umed_ins_pq;fp_color_ins_pq;fp_cantidad_fun_pq;fp_umed_fun_pq;fp_color_fun_pq;fp_cantidad_pq;fp_umed_pq;fp_color_pq;fp_totrabcont;fp_trabfami;fp_clacu;fp_full_tabaco;fp_tabaco;fp_Bonche;fp_Bouquet;fp_tn;fact_exp_fin
05015601091440025;COTOPAXI;01;09144;0025;1;ROSA;1;BAJO INVERNADERO;1;,32;,32;30000;420000;BONCHE;14;25;30;70;1;2;2;1;SI;,32; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;2;QUINTAL;1440;KILOGRAMO; ; ;SI;NO; ; ;SI; ; ; ;7;LITRO;VERDE;7;LITRO;VERDE; ; ; ;2; ;ROSA; ; ;14; ;TOTAL NACIONAL;59,5504321074783
05065001092010002;COTOPAXI;01;09201;0002;1;CLAVEL;1;BAJO INVERNADERO;5;,26;,26;30000;60000;BONCHE;2400;25;100; ;1;1;1;1;SI;,12; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;10;QUINTAL; ; ; ; ; ; ;SI;NO; ; ;SI;12;LITRO;AZUL; ; ; ; ; ; ; ; ; ; ; ;CLAVEL; ; ;2400; ;TOTAL NACIONAL;83,2643100865293
05015101097610006;COTOPAXI;01;09761;0006;1;CLAVEL;1;BAJO INVERNADERO;2;,18;,18;1428;8568;BONCHE;308;25; ;100;1;1;1;1;SI;,18; ; ; ;100; ; ;SI;SI;12;QUINTAL; ; ; ; ;SI; ; ;108;KILOGRAMO;45;KILOGRAMO;201;KILOGRAMO;SI;SI;3;LITRO;SI; ; ; ;4;LITRO;VERDE;1;LIBRA;VERDE; ; ; ;1; ;CLAVEL; ; ;308; ;TOTAL NACIONAL;63,8275349660264
05015101097610006;COTOPAXI;01;09761;0006;2;ROSA;2;BAJO INVERNADERO;2;,3;,3;2856;34272;BONCHE;1234;25;100;0;1;1;1;1;SI;,3; ; ; ;100; ; ;SI;SI;24;QUINTAL; ; ; ; ;SI; ; ;108;KILOGRAMO;45;KILOGRAMO;10;QUINTAL;SI;SI;6;LITRO;SI; ; ; ;4;LITRO;VERDE;1;LIBRA;VERDE; ; ; ;2; ;ROSA; ; ;1234; ;TOTAL NACIONAL;49,6363270199718
05015101097610006;COTOPAXI;01;09761;0006;3;CLAVEL;3;BAJO INVERNADERO;2;,3;,3;2856;17136;BONCHE;617;25; ;100;1;1;1;1;SI;,3; ; ; ;100; ; ;SI;SI;24;QUINTAL; ; ; ; ;SI; ; ;108;KILOGRAMO;45;KILOGRAMO;10;QUINTAL;SI;SI;6;LITRO;SI; ; ; ;8;LITRO;VERDE;1;LIBRA;VERDE; ; ; ;2; ;CLAVEL; ; ;617; ;TOTAL NACIONAL;3,00493893139025
05015101097610006;COTOPAXI;01;09761;0006;4;CLAVEL;4;BAJO INVERNADERO;1;,5;,5;4284;25704;BONCHE;925;25; ;100;1;1;1;1;SI;,5; ; ; ;100; ; ;SI;SI;30;QUINTAL; ; ; ; ;SI; ; ;108;KILOGRAMO;45;KILOGRAMO;20;QUINTAL;SI;SI;10;LITRO;SI; ; ; ;8;LITRO;VERDE;1;LIBRA;VERDE; ; ; ;1; ;CLAVEL; ; ;925; ;TOTAL NACIONAL;55,5365355786869
05015101097610008;COTOPAXI;01;09761;0008;1;ROSA;1;BAJO INVERNADERO;1;,2;,2;10000;140000;BONCHE;5320;25;100; ;1;1;1;1;SI;,2; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;2;KILOGRAMO; ; ;10;QUINTAL;SI;NO; ; ;SI; ; ; ;1;LITRO;VERDE;1;LITRO;VERDE;,5;LITRO;VERDE;2; ;ROSA; ; ;5320; ;TOTAL NACIONAL;78,8631965533842
05015101097610008;COTOPAXI;01;09761;0008;2;ROSA;2;BAJO INVERNADERO;0;,2; ;10000; ; ; ; ; ; ;1;1;1;1;SI;,2; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;2;KILOGRAMO; ; ;10;QUINTAL;SI;NO; ; ;SI; ; ; ;1;LITRO;VERDE;1;LITRO;VERDE;,5;LITRO;VERDE;0; ;ROSA; ; ; ; ;TOTAL NACIONAL;88,6347315456058
05015101098240018;COTOPAXI;01;09824;0018;1;ROSA;1;BAJO INVERNADERO;7;,67;,67;55000;660000;FULL TABACO;1980;300; ;100;1;1;1;1;SI;,67; ; ; ;100; ; ;SI;SI; ; ;72;QUINTAL; ; ;SI; ; ;48;QUINTAL;48;QUINTAL;24;QUINTAL;SI;NO; ; ;SI; ; ; ;16;LITRO;VERDE; ; ; ;1;LITRO;AZUL; ; ;ROSA;1980; ; ; ;TOTAL NACIONAL;69,2291574050655
05015101098240018;COTOPAXI;01;09824;0018;2;ROSA;2;BAJO INVERNADERO;1;,6;,6;55000;660000;FULL TABACO;1980;300; ;100;1;1;1;1;SI;,6; ; ; ;100; ; ;SI;SI; ; ;72;QUINTAL; ; ;SI; ; ;18;QUINTAL;48;QUINTAL;24;QUINTAL;SI;NO; ; ;SI; ; ; ;16;LITRO;VERDE; ; ; ;1;LITRO;AZUL;0; ;ROSA;1980; ; ; ;TOTAL NACIONAL;65,8235163000156
