Identificador;ual_prov;ual_estr;ual_segm;al_ncues;fp_numl;rc_clacul;fp_numt;fp_k704;fp_k705;fp_k706ha;fp_k707ha;fp_k708;fp_k709;fp_k710;fp_k711;fp_k712;fp_venmernac;fp_venmerint;fp_prepasuelo;fp_poda;fp_tutoreo;fp_despunte;fp_riego;fp_superf_regada_ha;fp_porc_surc;fp_porc_aspe;fp_porc_micr;fp_porc_gote;fp_porc_nebu;fp_porc_otro;fp_aferti;fp_forg;fp_cant1_fo;fp_umed1_fo;fp_cant2_fo;fp_umed2_fo;fp_cant3_fo;fp_umed3_fo;fp_fqui;fp_cantidad_npk_fq;fp_umed_npk_fq;fp_cantidad_nit_fq;fp_umed_nit_fq;fp_cantidad_fq;fp_umed_fq;fp_cantidad_pot_fq;fp_umed_pot_fq;fp_apliplagui;fp_porg;fp_cantidad_po;fp_umedida_po;fp_pqui;fp_cantidad_her_pq;fp_umed_her_pq;fp_color_her_pq;fp_cantidad_ins_pq;fp_umed_ins_pq;fp_color_ins_pq;fp_cantidad_fun_pq;fp_umed_fun_pq;fp_color_fun_pq;fp_cantidad_pq;fp_umed_pq;fp_color_pq;fp_totrabcont;fp_trabfami;fp_clacu;fp_full_tabaco;fp_tabaco;fp_Bonche;fp_Bouquet;fp_tn;fact_exp_fin
05015163000993651;COTOPAXI;63;00099;3651;1;ROSA;1;BAJO INVERNADERO;9;12,5;12,5;1030000;9250000;FULL TABACO;33670;250;5;95;2;2;1;1;SI;12,5; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;103200;KILOGRAMO;12450;KILOGRAMO;27000;KILOGRAMO;SI;SI;1100;LITRO;SI; ; ; ;160;LITRO;AZUL;310;LITRO;AZUL; ; ; ; ; ;ROSA;33670; ; ; ;TOTAL NACIONAL;1
05016163000993652;COTOPAXI;63;00099;3652;1;ROSA;1;BAJO INVERNADERO;5;2,5;2,5;187000;1954150;TABACO;7520;250;5;95;1;1;1;1;SI;2,5; ; ; ;100; ; ;SI;SI; ; ;410;QUINTAL; ; ;SI; ; ;3680;KILOGRAMO;3190;KILOGRAMO;5350;KILOGRAMO;SI;NO; ; ;SI; ; ; ;98,5;LITRO;VERDE;183,5;LITRO;AZUL;26;LITRO;VERDE; ; ;ROSA; ;7520; ; ;TOTAL NACIONAL;1
05015163000993656;COTOPAXI;63;00099;3656;1;ROSA;1;BAJO INVERNADERO;20;13,14;13,14;960000;13000000;BONCHE;520000;25;3;97;1;1;1;1;SI;13,14; ; ;99;1; ; ;SI;SI;18400;KILOGRAMO;39282;KILOGRAMO; ; ;SI; ; ;9660;KILOGRAMO;1693;KILOGRAMO;37080;KILOGRAMO;SI;SI;2;KILOGRAMO;SI; ; ; ;273;KILOGRAMO;AZUL;256;KILOGRAMO;AMARILLO;100,78;KILOGRAMO;AZUL; ; ;ROSA; ; ;520000; ;TOTAL NACIONAL;1
05015163000993657;COTOPAXI;63;00099;3657;1;ROSA;1;BAJO INVERNADERO;3;5;5;400000;3600000;BONCHE;136800;25;5;95;1;1;1;1;SI;5; ; ; ;100; ; ;SI;SI; ; ;1500;QUINTAL; ; ;SI; ; ;182;QUINTAL; ; ;55;QUINTAL;SI;NO; ; ;SI; ; ; ;288;LITRO;AZUL;356;LITRO;AZUL;144;LITRO;VERDE; ; ;ROSA; ; ;136800; ;TOTAL NACIONAL;1
05016163000993659;COTOPAXI;63;00099;3659;1;ROSA;1;BAJO INVERNADERO;30;7,2;7,2;580000;6500000;BONCHE;231400;25;11;89;1;1;1;1;SI;7,2; ; ; ;100; ; ;SI;SI; ; ; ; ;500;LITRO;SI; ; ;20800;KILOGRAMO;6800;KILOGRAMO;20800;KILOGRAMO;SI;SI;200;LITRO;SI;75,7;LITRO;AMARILLO;325;KILOGRAMO;AMARILLO;400;KILOGRAMO;AZUL;200;LITRO;AZUL; ; ;ROSA; ; ;231400; ;TOTAL NACIONAL;1
05015663000993678;COTOPAXI;63;00099;3678;1;ROSA;1;BAJO INVERNADERO;34;62,28;62,28;4800000;56000000;BONCHE;2105600;25; ;100;1;1;1;1;SI;62,28; ; ; ;100; ; ;SI;SI; ; ;13502;KILOGRAMO; ; ;SI; ; ;49200;KILOGRAMO;27120;KILOGRAMO;200160;KILOGRAMO;SI;NO; ; ;SI; ; ; ;4248;LITRO;VERDE;1416;KILOGRAMO;VERDE;1764;LITRO;VERDE; ; ;ROSA; ; ;2105600; ;TOTAL NACIONAL;1
05015663000993679;COTOPAXI;63;00099;3679;1;ROSA;1;BAJO INVERNADERO;10;10,3;10,3;1000000;9600000;FULL TABACO;30400;300;10;90;1;1;1;1;SI;10,3; ; ; ;100; ; ;SI;SI;10;TONELADA;130;TONELADA;4000;LITRO;SI; ; ;17;TONELADA;6;TONELADA;60;TONELADA;SI;NO; ; ;SI; ; ; ;430;LITRO;AMARILLO;210;LITRO;AMARILLO;60;LITRO;AZUL; ; ;ROSA;30400; ; ; ;TOTAL NACIONAL;1
05055063000993681;COTOPAXI;63;00099;3681;1;ROSA;1;BAJO INVERNADERO;3;,5;,35;35000;192000;BONCHE;7296;25;100; ;1;1;1;1;SI;,5; ; ; ;100; ; ;SI;SI; ; ;6;TONELADA;960;LITRO;SI; ; ;300;LIBRA;100;KILOGRAMO;800;KILOGRAMO;SI;NO; ; ;SI; ; ; ;12;LITRO;VERDE;36;LITRO;VERDE;2;LITRO;VERDE; ; ;ROSA; ; ;7296; ;TOTAL NACIONAL;1
05015363000993682;COTOPAXI;63;00099;3682;1;ROSA;1;BAJO INVERNADERO;30;14;14;869172;8344000;TABACO;21456;350;10;90;1;1;1;1;SI;14; ; ; ;100; ; ;SI;SI; ; ;46200;KILOGRAMO; ; ;SI; ; ;11550;KILOGRAMO;4508;KILOGRAMO;16800;KILOGRAMO;SI;SI;1260;LITRO;SI; ; ; ;560;LITRO;VERDE;840;LITRO;VERDE;560;LITRO;VERDE; ; ;ROSA; ;21456; ; ;TOTAL NACIONAL;1
05016163000993684;COTOPAXI;63;00099;3684;1;ROSA;1;BAJO INVERNADERO;26;22,11;22,11;11672000;19899000;FULL TABACO;57065;320;0;100;1;1;1;1;SI;22,11; ; ; ;100; ; ;SI;SI; ; ;5085;QUINTAL; ; ;SI; ; ;5907;KILOGRAMO;751;KILOGRAMO;2506;KILOGRAMO;SI;SI;2800;KILOGRAMO;SI; ; ; ;1544;LITRO;VERDE;483,6;KILOGRAMO;VERDE;770,8;LITRO;VERDE; ; ;ROSA;57065; ; ; ;TOTAL NACIONAL;1
05015463000993685;COTOPAXI;63;00099;3685;1;ROSA;1;BAJO INVERNADERO;14;,35;,35;23000;216000;TABACO;880;150;30;70;1;1;1;1;SI;,35; ;80; ;20; ; ;SI;SI;12;QUINTAL; ; ; ; ;SI;24;QUINTAL; ; ; ; ; ; ;SI;SI;16;LITRO;SI; ; ; ;4;LITRO;AMARILLO; ; ; ; ; ; ;2; ;ROSA; ;880; ; ;TOTAL NACIONAL;1
05015663000993689;COTOPAXI;63;00099;3689;1;ROSA;1;BAJO INVERNADERO;22;8;8;600000;6000000;FULL TABACO;9500;600;5;95;1;1;1;1;SI;8; ; ; ;100; ; ;SI;SI; ; ;200;TONELADA; ; ;SI;12;TONELADA;15;TONELADA;6;TONELADA;5;TONELADA;SI;NO; ; ;SI; ; ; ;46;LITRO;AMARILLO;670;LITRO;AMARILLO;30;LITRO;AZUL; ; ;ROSA;9500; ; ; ;TOTAL NACIONAL;1
05016163000993713;COTOPAXI;63;00099;3713;1;ROSA;1;BAJO INVERNADERO;5;13,13;13,13;937576;11636168;TABACO;69041;150;10;90;1;1;1;1;SI;13,13; ; ;100; ; ; ;SI;SI;138376,04;KILOGRAMO; ; ; ; ;SI; ; ;53856,59;LITRO; ; ; ; ;SI;NO; ; ;SI; ; ; ;131,3;LITRO;VERDE; ; ; ; ; ; ; ; ;ROSA; ;69041; ; ;TOTAL NACIONAL;1
05015663000993714;COTOPAXI;63;00099;3714;1;ROSA;1;BAJO INVERNADERO;27;9,14;9,14;616467;8226000;FULL TABACO;25706;320;2;98;1;1;1;1;SI;9,14; ; ; ;100; ; ;SI;SI; ; ;2102,2;KILOGRAMO; ; ;SI; ; ;3036;KILOGRAMO; ; ;156;KILOGRAMO;SI;NO; ; ;SI; ; ; ;756;LITRO;AZUL;266;LITRO;AZUL;564;LITRO;AZUL; ; ;ROSA;25706; ; ; ;TOTAL NACIONAL;1
05015963000993715;COTOPAXI;63;00099;3715;1;ROSA;1;BAJO INVERNADERO;10;12,5;12,5;820000;5740000;TABACO;36353;150;12;88;1;1;1;1;SI;12,5; ;100; ; ; ; ;SI;SI;4;TONELADA;1,7;TONELADA; ; ;SI;8;TONELADA;45;TONELADA;4;TONELADA;17;TONELADA;SI;NO; ; ;SI; ; ; ;211;LITRO;AMARILLO;5;QUINTAL;AZUL;200;LITRO;AZUL;30; ;ROSA; ;36353; ; ;TOTAL NACIONAL;1
05015963000993716;COTOPAXI;63;00099;3716;1;ROSA;1;BAJO INVERNADERO;15;18,05;18,05;750000;1350000;BONCHE;53700;25; ;100;1;1;1;1;SI;18,05; ;100; ; ; ; ;SI;SI; ; ;15;TONELADA; ; ;SI; ; ;120;KILOGRAMO;720;KILOGRAMO;730;KILOGRAMO;SI;SI;810;KILOGRAMO;SI; ; ; ;2300;LITRO;AZUL;2300;LITRO;AMARILLO;1150;LITRO;VERDE;2; ;ROSA; ; ;53700; ;TOTAL NACIONAL;1
05055063000993717;COTOPAXI;63;00099;3717;1;ROSA;1;BAJO INVERNADERO;25;10,2;10,2;832000;1081600;BONCHE;36774;25;15;85;1;1;1;1;SI;10,2; ; ; ;100; ; ;SI;SI; ; ;16000;QUINTAL; ; ;SI; ; ;10200;KILOGRAMO;3610;KILOGRAMO;11220;KILOGRAMO;SI;SI;68;LITRO;SI; ; ; ;672;LITRO;AZUL;1120;LITRO;AZUL;560;LITRO;VERDE;20; ;ROSA; ; ;36774; ;TOTAL NACIONAL;1
05015163000993776;COTOPAXI;63;00099;3776;1;ROSA;1;BAJO INVERNADERO;20;9,5;9,5;785000;7065000;FULL TABACO;25434;250;5;95;1;1;1;1;SI;9,5; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;114000;KILOGRAMO;13680;KILOGRAMO;29500;KILOGRAMO;SI;SI;1100;LITRO;SI; ; ; ;180;LITRO;AZUL;340;LITRO;AZUL; ; ; ; ; ;ROSA;25434; ; ; ;TOTAL NACIONAL;1
05015063000993778;COTOPAXI;63;00099;3778;1;ROSA;1;BAJO INVERNADERO;10;14,6;14,6;873292;13000000;BONCHE;488800;25;6;94;1;1;1;1;SI;14,6; ; ; ;100; ; ;SI;SI; ; ;1036;QUINTAL; ; ;SI; ; ;992;QUINTAL;467;QUINTAL;1100;KILOGRAMO;SI;NO; ; ;SI; ; ; ;1346;LITRO;VERDE;1580;LITRO;AZUL;290;LITRO;AZUL;20; ;ROSA; ; ;488800; ;TOTAL NACIONAL;1
05015363000993783;COTOPAXI;63;00099;3783;1;ROSA;1;BAJO INVERNADERO;7;12,72;12,72;1365398;11999412;TABACO;70397;150;12;88;1;1;1;1;SI;12,72; ; ; ;100; ; ;SI;SI; ; ;2220;KILOGRAMO; ; ;SI;176894;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ;41;KILOGRAMO;AMARILLO;1099;KILOGRAMO;AMARILLO;228;LITRO;AMARILLO;82; ;ROSA; ;70397; ; ;TOTAL NACIONAL;1
05015463000993784;COTOPAXI;63;00099;3784;1;ROSA;1;BAJO INVERNADERO;14;9,3;9,3;600000;9000000;BONCHE;31280;250;8;92;1;1;1;1;SI;9,3; ; ; ;100; ; ;SI;SI; ; ;400;TONELADA; ; ;SI; ; ;60000;KILOGRAMO;5000;KILOGRAMO;1000;KILOGRAMO;SI;NO; ; ;SI; ; ; ;250;LITRO;VERDE;250;LITRO;VERDE;150;LITRO;VERDE; ; ;ROSA; ; ;31280; ;TOTAL NACIONAL;1
05015663000993844;COTOPAXI;63;00099;3844;1;ROSA;1;BAJO INVERNADERO;29;13,4;13,4;15146100;89903096;BONCHE;26000;25;11;89;1;1;1;1;SI;13,4; ;100; ; ; ; ;SI;SI; ; ;120;TONELADA; ; ;SI; ; ;100;TONELADA;5;TONELADA;48;TONELADA;SI;SI;40;TONELADA;SI; ; ; ;300;KILOGRAMO;AZUL;2000;LITRO;VERDE;200;LITRO;VERDE;5; ;ROSA; ; ;26000; ;TOTAL NACIONAL;1
05015663000993845;COTOPAXI;63;00099;3845;1;ROSA;1;BAJO INVERNADERO;14;4;4;369401;1901789;TABACO;6022;300; ;100;1;1;1;1;SI;4; ; ; ;100; ; ;SI;SI; ; ;1;TONELADA;100;LITRO;SI;6000;KILOGRAMO;1;QUINTAL; ; ;1;QUINTAL;SI;NO; ; ;SI; ; ; ;180;LITRO;VERDE;160;LITRO;VERDE;145;LITRO;VERDE; ; ;ROSA; ;6022; ; ;TOTAL NACIONAL;1
05015163000993847;COTOPAXI;63;00099;3847;1;ROSA;1;BAJO INVERNADERO;0;4,5;0;40500; ; ; ; ;0;0;1;1;1;1;SI;4,5; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;539;QUINTAL;55;QUINTAL;916;QUINTAL;SI;NO; ; ;SI; ; ; ;150;LITRO;VERDE;300;LITRO;AZUL;75;LITRO;AMARILLO; ; ;ROSA; ; ; ; ;TOTAL NACIONAL;1
05015963000993958;COTOPAXI;63;00099;3958;1;ROSA;1;BAJO INVERNADERO;16;36,03;36,03;25000000;50000000;BONCHE;1800000;25; ;100;1;1;1;1;SI;36,03; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;140;TONELADA;35600;KILOGRAMO;35600;KILOGRAMO;9700;KILOGRAMO;SI;SI;1658;KILOGRAMO;SI; ; ; ;499,2;LITRO;AZUL;499,2;KILOGRAMO;AMARILLO;243,88;KILOGRAMO;VERDE;4; ;ROSA; ; ;1800000; ;TOTAL NACIONAL;1
05015463000993959;COTOPAXI;63;00099;3959;1;ROSA;1;BAJO INVERNADERO;19;4,5;4,5;240000;1500000;TABACO;5400;250;10;90;1;1;1;1;SI;4,5; ; ; ;100; ; ;SI;SI; ; ; ; ;9600;LITRO;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ;72;LITRO;VERDE;90;LITRO;VERDE;3;LITRO;VERDE;7; ;ROSA; ;5400; ; ;TOTAL NACIONAL;1
05015163000993960;COTOPAXI;63;00099;3960;1;CARTUCHO - CALA;1;CAMPO ABIERTO;9;2;2;8200;54900;BOUQUET;8860;5;100; ;1;1;1;1;SI;2; ; ; ;100; ; ;SI;SI;2;QUINTAL; ; ;2600;LITRO;SI; ; ;25;QUINTAL; ; ;6;QUINTAL;SI;SI;48;LITRO;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;OTRAS FLORES PERMANENTES; ; ; ;8860;TOTAL NACIONAL;1
05015163000993960;COTOPAXI;63;00099;3960;2;OTRAS FLORES PERMANENTES;2;BAJO INVERNADERO;2;,5;,1;800;800;BOUQUET;260;2;100; ;2;1;1;2;SI;,5; ; ; ;100; ; ;SI;SI;1,5;QUINTAL; ; ;625;LITRO;SI; ; ;9;QUINTAL; ; ; ; ;SI;SI;16;LITRO;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;OTRAS FLORES PERMANENTES; ; ; ;260;TOTAL NACIONAL;1
05015163000993961;COTOPAXI;63;00099;3961;1;CLAVEL;1;BAJO INVERNADERO;1;8;4;2200000;15000000;BONCHE;570000;25;10;90;1;1;1;1;SI;8; ; ; ;100; ; ;SI;SI; ; ;34500;KILOGRAMO;50000;LITRO;SI; ; ;13584;KILOGRAMO;2773;KILOGRAMO;18720;KILOGRAMO;SI;NO; ; ;SI; ; ; ;300;LITRO;AZUL;400;LITRO;AMARILLO;200;LITRO;AZUL; ; ;CLAVEL; ; ;570000; ;TOTAL NACIONAL;1
05015163000993962;COTOPAXI;63;00099;3962;1;ROSA;1;BAJO INVERNADERO;6;9,5;9,5;924419;7707192;TABACO;24406;300;0;100;1;1;1;1;SI;9,5; ; ; ;100; ; ;SI;SI; ; ;5;TONELADA;2400;LITRO;SI;36000;KILOGRAMO;5;QUINTAL; ; ;2;QUINTAL;SI;NO; ; ;SI; ; ; ;54;LITRO;VERDE;480;LITRO;VERDE;435;LITRO;VERDE; ; ;ROSA; ;24406; ; ;TOTAL NACIONAL;1
05015463000993963;COTOPAXI;63;00099;3963;1;ROSA;1;BAJO INVERNADERO;12;,12;,12;25000;96000;BONCHE;2720;30;7;93;1;1;1;1;SI;,12; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;360;KILOGRAMO;180;KILOGRAMO;110;KILOGRAMO;SI;NO; ; ;SI; ; ; ;1,92;LITRO;VERDE; ; ; ;12;LITRO;AMARILLO; ; ;ROSA; ; ;2720; ;TOTAL NACIONAL;1
05015163000993964;COTOPAXI;63;00099;3964;1;ROSA;1;BAJO INVERNADERO;5;3,9;3,9;783000;1040000;BONCHE;22880;25;100; ;1;1;1;1;SI;3,9; ; ; ;100; ; ;SI;SI;3;TONELADA; ; ;3500;LITRO;SI;600;KILOGRAMO;9657;KILOGRAMO;261;KILOGRAMO;3132;KILOGRAMO;SI;SI;52;LITRO;SI; ; ; ;52;LITRO;AZUL;468;LITRO;AZUL;2;LITRO;AZUL; ; ;ROSA; ; ;22880; ;TOTAL NACIONAL;1
05015163000993965;COTOPAXI;63;00099;3965;1;ROSA;1;BAJO INVERNADERO;25;9,6;9,6;864000;7500000;TABACO;67500;100;10;90;1;1;1;1;SI;9,6; ; ; ;100; ; ;SI;SI; ; ;4224;QUINTAL; ; ;SI; ; ;2503;QUINTAL;511;QUINTAL;2466;KILOGRAMO;SI;NO; ; ;SI; ; ; ;800;LITRO;VERDE;1600;LITRO;AZUL;400;LITRO;AMARILLO; ; ;ROSA; ;67500; ; ;TOTAL NACIONAL;1
05015463000993966;COTOPAXI;63;00099;3966;1;ROSA;1;BAJO INVERNADERO;24;13,8;13,8;633000;9494928;TABACO;47206;200; ;100;1;1;1;1;SI;13,8; ; ;100; ; ; ;SI;SI; ; ;796;KILOGRAMO; ; ;SI; ; ;120103;KILOGRAMO;35523;LITRO; ; ;SI;NO; ; ;SI; ; ; ;183;LITRO;VERDE; ; ; ;128,11;KILOGRAMO;VERDE; ; ;ROSA; ;47206; ; ;TOTAL NACIONAL;1
05015463000993967;COTOPAXI;63;00099;3967;1;ROSA;1;BAJO INVERNADERO;10;15;15;771916;11578740;TABACO;57567;200; ;100;1;1;1;1;SI;15; ; ; ;100; ; ;SI;SI;600;KILOGRAMO; ; ; ; ;SI; ; ;89780;KILOGRAMO;25248;LITRO; ; ;SI;NO; ; ;SI;60;LITRO;VERDE;188;LITRO;VERDE;4;LITRO;VERDE;197,28;KILOGRAMO;VERDE; ; ;ROSA; ;57567; ; ;TOTAL NACIONAL;1
05015964000991648;COTOPAXI;64;00099;1648;1;ROSA;1;BAJO INVERNADERO;3;25,3;25,3;2460000;9840000;FULL TABACO;30750;320; ;100;1;1;1;1;SI;25,3; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;1332;KILOGRAMO;600;KILOGRAMO;168;KILOGRAMO;1440;KILOGRAMO;SI;SI;3189;KILOGRAMO;SI; ; ; ;1746;KILOGRAMO;AZUL;551,7;LITRO;VERDE;880,7;KILOGRAMO;VERDE; ; ;ROSA;30750; ; ; ;TOTAL NACIONAL;1
05015064000991662;COTOPAXI;64;00099;1662;1;CLAVEL;2;BAJO INVERNADERO;8;,15;,15;50000;200000;BONCHE;6560;25;10;90;1;1;1;1;SI;,15; ; ; ;100; ; ;SI;SI; ; ;1;TONELADA;100;LITRO;SI; ; ;2;QUINTAL;1;QUINTAL;2;QUINTAL;SI;NO; ; ;SI;10;LITRO;AZUL;10;LITRO;AZUL;10;LITRO;AMARILLO;10;LITRO;AZUL;4;4;CLAVEL; ; ;6560; ;TOTAL NACIONAL;1
10065001048130001;IMBABURA;01;04813;0001;1;ROSA;3;BAJO INVERNADERO;0;1,4;0;94600; ; ; ; ; ; ;1;1;1;1;SI;1,4; ; ; ;100; ; ;SI;SI;6600;KILOGRAMO; ; ; ; ;SI; ; ;3420;KILOGRAMO;936;KILOGRAMO;2250;KILOGRAMO;SI;NO; ; ;SI;94,84;KILOGRAMO;AMARILLO;47,42;KILOGRAMO;AMARILLO;94,84;KILOGRAMO;AMARILLO; ; ; ;0;0;ROSA; ; ; ; ;TOTAL NACIONAL;25,2015482408617
10045001119570005;IMBABURA;01;11957;0005;1;OTRAS FLORES PERMANENTES;1;CAMPO ABIERTO;3;2; ;250000; ; ; ; ; ; ;1;2;2;2;NO; ; ; ; ; ; ; ;SI;SI; ; ;30;TONELADA; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ;2;KILOGRAMO;AZUL;1,2;LITRO;NO SABE; ; ; ; ; ;OTRAS FLORES PERMANENTES; ; ; ; ;TOTAL NACIONAL;44,7809090697569
10045901128070004;IMBABURA;01;12807;0004;1;OTRAS FLORES PERMANENTES;1;CAMPO ABIERTO;7;1; ;20000; ; ; ; ; ; ;1;2;2;2;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;2;LITRO; ; ; ; ; ; ;SI;NO; ; ;SI;,75;LITRO;AMARILLO;,75;LITRO;AMARILLO; ; ; ; ; ; ; ; ;OTRAS FLORES PERMANENTES; ; ; ; ;TOTAL NACIONAL;41,0780105073313
10045701138090014;IMBABURA;01;13809;0014;1;ROSA;1;BAJO INVERNADERO;3;,12;,12;18000;72000;FULL TABACO;180;400;100; ;1;1;1;1;SI;,12; ; ;100; ; ; ;SI;NO; ; ; ; ; ; ;SI;2;LITRO; ; ; ; ;4;KILOGRAMO;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;ROSA;180; ; ; ;TOTAL NACIONAL;,16326713238208
10065563000993786;IMBABURA;63;00099;3786;1;LISIANTHUS;1;BAJO INVERNADERO;1;6;6;500000;500000;BONCHE;45000;10; ;100;1;2;1;1;SI;6; ; ; ;100; ; ;SI;SI; ; ; ; ;7200;LITRO;SI;1800;KILOGRAMO;11400;KILOGRAMO; ; ;3600;KILOGRAMO;SI;SI;37,2;LITRO;SI; ; ; ;19,2;KILOGRAMO;AZUL;62,4;LITRO;AZUL;12;LITRO;AZUL; ; ;LISIANTHUS; ; ;45000; ;TOTAL NACIONAL;1
10065563000993786;IMBABURA;63;00099;3786;2;LIMONIUM - STATICE;2;BAJO INVERNADERO;1;1;1;40000;324000;BOUQUET;97200;3; ;100;1;2;1;2;SI;1; ; ; ;100; ; ;SI;SI; ; ; ; ;1200;LITRO;SI;300;KILOGRAMO;1800;KILOGRAMO; ; ;600;KILOGRAMO;SI;SI;27,9;LITRO;SI; ; ; ;14,4;KILOGRAMO;AZUL;46,8;LITRO;AZUL;9;LITRO;AZUL; ; ;LIMONIUM - STATICE; ; ; ;97200;TOTAL NACIONAL;1
10015463000993792;IMBABURA;63;00099;3792;1;ROSA;1;BAJO INVERNADERO;15;5,5;5,5;394000;3290657;BONCHE;130310;25;9;91;1;1;1;1;SI;5,5; ; ;100; ; ; ;SI;SI; ; ;3;TONELADA;500;LITRO;SI;50,3;TONELADA;727,8;KILOGRAMO;504;KILOGRAMO; ; ;SI;SI;144;LITRO;SI; ; ; ;366;LITRO;VERDE;125,3;LITRO;VERDE;188;LITRO;VERDE; ; ;ROSA; ; ;130310; ;TOTAL NACIONAL;1
10035063000994234;IMBABURA;63;00099;4234;1;GYSOPHILLA;2;CAMPO ABIERTO;3;13;13;2500000;8750000;FULL TABACO;26250;300; ;100;1;1;1;2;SI;13; ; ; ;100; ; ;SI;SI;374,4;TONELADA;468000;KILOGRAMO; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ;175,5;LITRO;AZUL;175,5;LITRO;AZUL; ; ; ; ; ;GYSOPHILLA;26250; ; ; ;TOTAL NACIONAL;1
10035063000994234;IMBABURA;63;00099;4234;2;GYSOPHILLA;5;CAMPO ABIERTO;5;3;3;580000;2030000;FULL TABACO;6040;300; ;100;1;1;1;2;SI;3; ; ; ;100; ; ;SI;SI;86,4;TONELADA;108000;KILOGRAMO; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ;40,5;LITRO;AZUL;40,5;LITRO;AZUL; ; ; ; ; ;GYSOPHILLA;6040; ; ; ;TOTAL NACIONAL;1
17025301017190005;PICHINCHA;01;01719;0005;1;ROSA;1;BAJO INVERNADERO;0;2,25;0;22000; ; ; ; ; ; ;2;2;2;2;SI;2,25; ; ; ;100; ; ;SI;SI;2500;KILOGRAMO; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;ROSA; ; ; ; ;TOTAL NACIONAL;1,10807995184752
17045401045660008;PICHINCHA;01;04566;0008;1;ROSA;1;BAJO INVERNADERO;4;,12;,12;13000;70620;BONCHE;2640;25;100; ;1;1;1;1;SI;,12; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;288,92;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ;12;LITRO;AZUL;6;KILOGRAMO;AZUL; ; ; ; ;2;ROSA; ; ;2640; ;TOTAL NACIONAL;104,691336627729
17045401050420005;PICHINCHA;01;05042;0005;1;ROSA;1;BAJO INVERNADERO;7;,25;,25;25000;67237;BONCHE;2447;25;100; ;1;1;1;1;SI;,25; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;182,5;KILOGRAMO;365;KILOGRAMO; ; ;182,5;KILOGRAMO;SI;NO; ; ;SI; ; ; ;18,89;LITRO;AMARILLO;14,44;LITRO;AZUL; ; ; ;1; ;ROSA; ; ;2447; ;TOTAL NACIONAL;119,907805271027
17045401050420005;PICHINCHA;01;05042;0005;2;ROSA;2;BAJO INVERNADERO;4;,4;,4;40000;107579;BONCHE;3915;25;100; ;1;1;1;1;SI;,4; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;292;KILOGRAMO;584;KILOGRAMO; ; ;292;KILOGRAMO;SI;NO; ; ;SI; ; ; ;30,22;LITRO;AMARILLO;23,11;LITRO;AZUL; ; ; ;2; ;ROSA; ; ;3915; ;TOTAL NACIONAL;79,1941235386011
17045401050420005;PICHINCHA;01;05042;0005;3;ROSA;3;BAJO INVERNADERO;2;,25;,25;25000;67237;BONCHE;2447;25;100; ;1;1;1;1;SI;,25; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;12,5;KILOGRAMO;365;KILOGRAMO; ; ;182,5;KILOGRAMO;SI;NO; ; ;SI; ; ; ;18,89;LITRO;AMARILLO;14,44;LITRO;AZUL; ; ; ;1; ;ROSA; ; ;2447; ;TOTAL NACIONAL;127,225960721666
17045401057200003;PICHINCHA;01;05720;0003;1;ROSA;3;BAJO INVERNADERO;3;,25;,25;15000;120000;BONCHE;4560;25;100; ;1;1;1;1;SI;,25; ; ; ;100; ; ;SI;SI;4000;LIBRA; ; ; ; ;SI;80;KILOGRAMO;326;KILOGRAMO;9,6;KILOGRAMO;86,4;KILOGRAMO;SI;NO; ; ;SI; ; ; ;8,4;LITRO;AZUL;6;KILOGRAMO;AZUL; ; ; ; ; ;ROSA; ; ;4560; ;TOTAL NACIONAL;145,151295874949
