Identificador;ual_prov;ual_estr;ual_segm;al_ncues;gv_superficie_ha;gv_k1001;gv_k1002;gv_k1003;gv_trs;gv_trc;gv_tro;gv_znd;gv_tn;fact_exp_fin
01016801123170004; AZUAY;01;12317;0004;7,29;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,72056133163783
01115301124160001; AZUAY;01;12416;0001;3,03;5;1;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;51,5364850694946
01115301124160003; AZUAY;01;12416;0003;2,15;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;35,2811055054352
01115401124270002; AZUAY;01;12427;0002;4,19;7; ;7;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;30,9056525691265
01095501128480008; AZUAY;01;12848;0008;2,64;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,71939229894513
01095501130900003; AZUAY;01;13090;0003;3,99;7;3;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20,1738461622453
01095501130900013; AZUAY;01;13090;0013;12,08;3;2;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,5691639329984
01016801134220004; AZUAY;01;13422;0004;,72;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;59,5118481321446
01016801134220007; AZUAY;01;13422;0007;,37;3;1;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;87,554706339696
01016801134220009; AZUAY;01;13422;0009;,16;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;79,8100342515657
01016801134220010; AZUAY;01;13422;0010;,17;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;69,9228427758612
01016801134220013; AZUAY;01;13422;0013;,23;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;23,2295317987925
01016801134220014; AZUAY;01;13422;0014;1,12;2;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,8413263247686
01016801134220016; AZUAY;01;13422;0016;,27;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,9957793839267
01016101135260002; AZUAY;01;13526;0002;2,22;12;5;7;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;27,7080181095507
01016101135260004; AZUAY;01;13526;0004;2;2;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;52,721081669631
01016101135390001; AZUAY;01;13539;0001;4,07;3;1;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,27787998722436
01016101135390002; AZUAY;01;13539;0002;1,07;8;2;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13,2181928606747
01016101135390003; AZUAY;01;13539;0003;1,49;5;2;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;66,3567277481519
01016101135390004; AZUAY;01;13539;0004;2,28;5;2;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;43,0357641746051
01016101135390005; AZUAY;01;13539;0005;3,11;5; ;5;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,97189594690715
01016101135390006; AZUAY;01;13539;0006;11,07;4;1;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,81783302139473
01016101135390007; AZUAY;01;13539;0007;1,81;5;1;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,82714585901642
01016101135390008; AZUAY;01;13539;0008;1,47;5;3;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;37,1762808224019
01016101135390009; AZUAY;01;13539;0009;3,02;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,2609385938517
01016101135390015; AZUAY;01;13539;0015;,22;6;3;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;85,4665760856873
01016101135390016; AZUAY;01;13539;0016;7,85;3;3; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,4570840911897
01095501135470003; AZUAY;01;13547;0003;,72;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;23,5982545257575
01095501135470004; AZUAY;01;13547;0004;,12;6; ;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;76,3809128907916
01095501135470005; AZUAY;01;13547;0005;,65;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,65611714296676
01095501135470006; AZUAY;01;13547;0006;2,48;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,75649974110096
01095501135470009; AZUAY;01;13547;0009;,5;4; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;70,1133639778412
01095501135470010; AZUAY;01;13547;0010;,2;4;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;39,6893143305084
01095501135470013; AZUAY;01;13547;0013;1,58;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,64491436562658
01095501135470014; AZUAY;01;13547;0014;2,91;4;1;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,5076831010877
01095501135470016; AZUAY;01;13547;0016;1,24;5; ;5;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,1012844891539
01017101136610002; AZUAY;01;13661;0002;7,51;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;33,1090423933788
01095001137570003; AZUAY;01;13757;0003;,37;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;58,1583760627157
01095001137570012; AZUAY;01;13757;0012;4,61;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,45455528092336
01095301137800005; AZUAY;01;13780;0005;1,1;7;7; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,65340855005135
01095301137800007; AZUAY;01;13780;0007;2,05;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;69,1422795130461
01017101140840001; AZUAY;01;14084;0001;7,43;4;1;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,33726102586114
01017101140840003; AZUAY;01;14084;0003;25,4;8;2;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,8033669763555
01016801140890004; AZUAY;01;14089;0004;5,63;13;1;12;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,7616527090258
