Identificador;ual_prov;ual_estr;ual_segm;al_ncues;ct_numl;rc_clacul;ct_numt;ct_k504;ct_k505;ct_prepa_suelo;ct_k506;ct_k507;ct_k508;ct_k509;ct_k510ha;ct_k511ha;ct_k512;ct_k516;ct_k517;ct_k518;ct_k520;ct_afecta_prod;ct_k522;ct_k523;ct_k524;ct_k526;ct_venmernac;ct_venmerint;ct_vencenacop;ct_rdproven1;ct_rdproven2;ct_rdproven3;ct_rdproven4;ct_rdproven5;ct_rdproven6;ct_sdrenaje;ct_psdrenaje;ct_presueuti;ct_riego;ct_superf_regada_ha;ct_porc_surc;ct_porc_aspe;ct_porc_micr;ct_porc_gote;ct_porc_nebu;ct_porc_otro;ct_aferti;ct_forg;ct_cant1_fo;ct_umed1_fo;ct_cant2_fo;ct_umed2_fo;ct_cant3_fo;ct_umed3_fo;ct_fqui;ct_cantidad_npk_fq;ct_umed_npk_fq;ct_cantidad_nit_fq;ct_umed_nit_fq;ct_cantidad_fq;ct_umed_fq;ct_cantidad_pot_fq;ct_umed_pot_fq;ct_apliplagui;ct_porg;ct_cantidad_po;ct_umed_po;ct_pqui;ct_cantidad_her_pq;ct_umed_her_pq;ct_color_her_pq;ct_cantidad_ins_pq;ct_umed_ins_pq;ct_color_ins_pq;ct_cantidad_fun_pq;ct_umed_fun_pq;ct_color_fun_pq;ct_cantidad_pq;ct_umed_pq;ct_color_pq;ct_trabocacont;ct_trabfami;ct_piensasem_int;ct_supersem_int;ct_supersemha_int;ct_messiem_int;ct_condcult_int;ct_codcultiv1_int;ct_codcultiv2_int;ct_prod;ct_nclavr;ct_trs;ct_trc;ct_tro;ct_znd;ct_tn;superdida;ct_sequia;ct_helada;ct_plagas;ct_enfermedades;ct_inundacion;ct_otra;ct_secomun;ct_semejorada;ct_secertificada;ct_sehibrinac;ct_sehibrinter;ct_sriego;su_fertilizada;su_plaguicidas;Ventas;ct_nuevacondicion;fact_exp_fin
13125003017390004;MANABÍ;03;01739;0004;2;MAIZ DURO SECO (GRANO SECO);2;1; ;1;3;1;25;6;4,9251;4,9251; ;600;QUINTAL;100;GRANO SECO;3;600;QUINTAL;100;GRANO SECO;100; ;2; ; ; ; ; ; ;2; ;5;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;800;KILOGRAMO;400;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;8;LITRO;AZUL;8;LITRO;VERDE;7;KILOGRAMO;AZUL; ; ; ; ; ;1;6,98;4,9251;ENERO;1;MAIZ DURO SECO (GRANO SECO); ;27,2727272727273;MAIZ DURO SECO (GRANO SECO); ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;4,9251; ; ; ;4,9251;4,9251;27,2727272727273;SOLO;65,9935026754095
13125003017390005;MANABÍ;03;01739;0005;1;MAIZ DURO SECO (GRANO SECO);1;1; ;1;3;1;25;6;1,1925;1,1925; ;84;QUINTAL;100;GRANO SECO;3;80;QUINTAL;100;GRANO SECO;100; ;2; ; ; ;4; ; ;2; ;5;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;125;KILOGRAMO;75;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;2;LITRO;AMARILLO;,5;LITRO;AMARILLO;1;KILOGRAMO;AZUL; ; ; ;0;0;1;1,69;1,1925;ENERO;1;MAIZ DURO SECO (GRANO SECO); ;3,81818181818182;MAIZ DURO SECO (GRANO SECO); ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;1,1925; ; ; ;1,1925;1,1925;3,63636363636364;SOLO;33,7630956643924
13125003017390006;MANABÍ;03;01739;0006;1;MAIZ DURO SECO (GRANO SECO);1;1; ;1;3;1;25;6;1,0513;1,0513; ;80;QUINTAL;100;GRANO SECO;3;70;QUINTAL;100;GRANO SECO;100; ;2; ; ; ;10; ; ;2; ;5;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;175;KILOGRAMO;75;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;2;LITRO;AZUL;2;LITRO;VERDE;1;KILOGRAMO;AZUL; ; ; ; ; ;1;1,49;1,0513;ENERO;1;MAIZ DURO SECO (GRANO SECO); ;3,63636363636364;MAIZ DURO SECO (GRANO SECO); ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;1,0513; ; ; ;1,0513;1,0513;3,18181818181818;SOLO;49,6278389505873
13125003017390007;MANABÍ;03;01739;0007;1;MAIZ DURO SECO (GRANO SECO);1;1; ;1;3;1;25;6;2,1027;2,1027; ;260;QUINTAL;100;GRANO SECO;3;245;QUINTAL;100;GRANO SECO;100; ;1; ; ; ;15; ; ;2; ;5;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;350;KILOGRAMO;150;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;6;LITRO;AZUL;3;LITRO;VERDE;2;KILOGRAMO;AZUL; ; ; ; ; ;1;2,98;2,1027;ENERO;1;MAIZ DURO SECO (GRANO SECO); ;11,8181818181818;MAIZ DURO SECO (GRANO SECO); ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;2,1027; ; ; ;2,1027;2,1027;11,1363636363636;SOLO;57,5665357328551
13125003017390008;MANABÍ;03;01739;0008;1;MAIZ DURO SECO (GRANO SECO);1;1; ;1;3;1;25;6;3,5139;3,5139; ;310;QUINTAL;100;GRANO SECO;3;300;QUINTAL;100;GRANO SECO;100; ;2; ; ; ;10; ; ;2; ;5;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;700;KILOGRAMO;300;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;5;LITRO;AZUL;6;LITRO;AZUL;4,5;KILOGRAMO;AMARILLO; ; ; ; ; ;1;4,98;3,5139;ENERO;1;MAIZ DURO SECO (GRANO SECO); ;14,0909090909091;MAIZ DURO SECO (GRANO SECO); ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;3,5139; ; ; ;3,5139;3,5139;13,6363636363636;SOLO;41,2563640632481
13125003017390008;MANABÍ;03;01739;0008;2;MAIZ DURO SECO (GRANO SECO);3;1; ;1;3;1;25;6;2,3638;2,1168;3;260;QUINTAL;100;GRANO SECO;3;260;QUINTAL;100;GRANO SECO;100; ;2; ; ; ; ; ; ;2; ;5;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;400;KILOGRAMO;200;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;4;LITRO;AZUL;4;LITRO;AZUL;3;KILOGRAMO;AMARILLO; ; ; ; ; ;1;3,35;2,3638;ENERO;1;MAIZ DURO SECO (GRANO SECO); ;11,8181818181818;MAIZ DURO SECO (GRANO SECO); ;REGIÓN COSTA; ; ;TOTAL NACIONAL;,247; ; ;,247; ; ; ; ; ;2,3638; ; ; ;2,3638;2,3638;11,8181818181818;SOLO;45,1414103073091
13125003017390008;MANABÍ;03;01739;0008;3;MAIZ DURO SECO (GRANO SECO);4;1; ;1;3;1;25;6;,7056;,7056; ;85;QUINTAL;100;GRANO SECO;3;85;QUINTAL;100;GRANO SECO;100; ;2; ; ; ; ; ; ;2; ;5;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;150;KILOGRAMO;50;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;1;LITRO;AZUL;2;LITRO;AZUL;1;KILOGRAMO;AMARILLO; ; ; ; ; ;1;1;,7056;ENERO;1;MAIZ DURO SECO (GRANO SECO); ;3,86363636363636;MAIZ DURO SECO (GRANO SECO); ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,7056; ; ; ;,7056;,7056;3,86363636363636;SOLO;100,765786749687
13125003017390010;MANABÍ;03;01739;0010;1;MAIZ DURO SECO (GRANO SECO);1;1; ;1;3;1;25;6;5,65;5,65; ;400;QUINTAL;100;GRANO SECO;3;400;QUINTAL;100;GRANO SECO;100; ;2; ; ; ; ; ; ;2; ;5;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;600;KILOGRAMO;150;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;12;LITRO;AZUL;6;LITRO;VERDE;2;LITRO;AZUL; ; ; ; ; ;1;5,65;5,65;ENERO;1;MAIZ DURO SECO (GRANO SECO); ;18,1818181818182;MAIZ DURO SECO (GRANO SECO); ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;5,65; ; ; ;5,65;5,65;18,1818181818182;SOLO;64,9729722527212
13125003017390010;MANABÍ;03;01739;0010;2;MAIZ DURO SECO (GRANO SECO);2;1; ;1;3;1;25;6;1,41;1,41; ;110;QUINTAL;100;GRANO SECO;3;110;QUINTAL;100;GRANO SECO;100; ;2; ; ; ; ; ; ;2; ;5;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;200;KILOGRAMO;75;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;3;LITRO;AZUL;1,5;LITRO;VERDE;,5;LITRO;AZUL; ; ; ; ; ;1;1,41;1,41;ENERO;1;MAIZ DURO SECO (GRANO SECO); ;5;MAIZ DURO SECO (GRANO SECO); ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;1,41; ; ; ;1,41;1,41;5;SOLO;65,6992486714724
13125003017390010;MANABÍ;03;01739;0010;3;MAIZ DURO SECO (GRANO SECO);3;1; ;1;3;1;25;6;6,5;6,5; ;450;QUINTAL;100;GRANO SECO;3;450;QUINTAL;100;GRANO SECO;100; ;2; ; ; ; ; ; ;2; ;5;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;800;KILOGRAMO;400;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;13;LITRO;AZUL;7;LITRO;VERDE;3;LITRO;AZUL; ; ; ; ; ;1;650;650;ENERO;1;MAIZ DURO SECO (GRANO SECO); ;20,4545454545455;MAIZ DURO SECO (GRANO SECO); ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;6,5; ; ; ;6,5;6,5;20,4545454545455;SOLO;73,3476055836787
