Identificador;ual_prov;ual_estr;ual_segm;al_ncues;su_numl;rc_clacul;su_numt;su_k202ha;su_categoria;su_tenencia;ual_trs;ual_trc;ual_tro;ual_znd;ual_tn;us_k301ha;us_k302ha;us_k303ha;us_k304ha;us_k305ha;us_k306ha;us_k307ha;us_k308ha;us_k309ha;us_k310ha;us_transiha;us_montesha;supertotal;fact_exp_fin
01015701007700002; AZUAY;01;00770;0002;1;OTROS PASTOS CULTIVADOS;1;4;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;1,5943; ; ; ; ; ; ; ;1,5943;66,3700908536929
01015701008530001; AZUAY;01;00853;0001;1;PASTOS NATURALES;1;20;PASTO NATURAL;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;4,6086; ; ; ; ; ; ;4,6086;66,3700908536929
01015701008530001; AZUAY;01;00853;0001;2;MONTES Y BOSQUES NATURALES;2;10;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;4,3914; ; ; ;4,3914;4,3914;66,3700908536929
01015701009630001; AZUAY;01;00963;0001;1;MONTES Y BOSQUES NATURALES;1;8;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;7,2734; ; ; ;7,2734;7,2734;66,3700908536929
01015701009630001; AZUAY;01;00963;0001;2;MONTES Y BOSQUES NATURALES;2;4;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,7906; ; ; ;,7906;,7906;66,3700908536929
01015701009630001; AZUAY;01;00963;0001;3;MONTES Y BOSQUES NATURALES;3;5;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,571; ; ; ;,571;,571;66,3700908536929
01015701009639999; AZUAY;01;00963;9999;1;OTROS USOS;1;,3;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,365; ; ;,365;66,3700908536929
01015701009930001; AZUAY;01;00993;0001;1;MONTES Y BOSQUES NATURALES;1;14;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;9; ; ; ;9;9;66,3700908536929
01055201011020001; AZUAY;01;01102;0001;1;PASTO MIXTO;1;3,27;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;3,0035; ; ; ; ; ; ; ;3,0035;66,3700908536929
01055201011020001; AZUAY;01;01102;0001;2;PASTO MIXTO;2;,93;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,9118; ; ; ; ; ; ; ;,9118;66,3700908536929
