Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vm_numl;vm_k821;vm_k822;vm_k823;vm_k824;vm_k825;vm_k826;vm_k827;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;va_nacidos;vm_subtmachos;vm_subthembras;TOTAL;fact_exp_fin
01015701007700002; AZUAY;01;00770;0002;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;26,3874902364196
01015701007700002; AZUAY;01;00770;0002;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;26,3874902364196
01015701007700002; AZUAY;01;00770;0002;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;26,3874902364196
01015701007700002; AZUAY;01;00770;0002;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;26,3874902364196
01015701007700002; AZUAY;01;00770;0002;6;2; ; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;2;26,3874902364196
01015701008530001; AZUAY;01;00853;0001;1;7; ;7; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;7; ;7;19,8977620813869
01015701008530001; AZUAY;01;00853;0001;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;19,8977620813869
01015701008530001; AZUAY;01;00853;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;19,8977620813869
01015701008530001; AZUAY;01;00853;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;19,8977620813869
01015701008530001; AZUAY;01;00853;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;19,8977620813869
