Identificador;ual_prov;ual_estr;ual_segm;al_ncues;cg_vive_predio_pr;cg_terredensm;cg_dista_pre_viv;cg_k100;cg_k101;cg_se_define;cg_k102;cg_segsoccam;cg_dispo_comp;cg_dispo_tlfint;cg_dispo_internet;cg_superficie;cg_unidadmedida;sup_ha;edad_rango;instrucción;grupo1;Productor
05025101101690003;COTOPAXI;01;10169;0003;NO; ;20;HOMBRE;55;MESTIZO;NINGUNA;NO;NO;NO;NO;9,45;HECTÁREAS;9,45;entre 55 y 64 años;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
05025101101720001;COTOPAXI;01;10172;0001;NO; ;30;HOMBRE;59;MESTIZO;SECUNDARIA;NO;NO;NO;NO;6,81;HECTÁREAS;6,81;entre 55 y 64 años;SECUNDARIA;De 5 hectáreas a menos de 10 hectáreas;2
05025101101720002;COTOPAXI;01;10172;0002;NO; ;30;HOMBRE;61;MESTIZO;PRIMARIA;NO;NO;NO;NO;30,86;HECTÁREAS;30,86;entre 55 y 64 años;PRIMARIA;De 20 hectáreas a menos de 50 hectáreas;2
05025101106980002;COTOPAXI;01;10698;0002;NO; ;130;HOMBRE;79;MESTIZO;NINGUNA;NO;NO;NO;NO;2,1;HECTÁREAS;2,1;65 años y más;NINGUNA;De 2 hectáreas a menos de 3 hectáreas;2
05025101106980004;COTOPAXI;01;10698;0004;SI;NO;,02;HOMBRE;70;MESTIZO;NINGUNA;NO;NO;NO;NO;3,5;HECTÁREAS;3,5;65 años y más;NINGUNA;De 3 hectáreas a menos de 5 hectáreas;2
05025101106980006;COTOPAXI;01;10698;0006;NO; ;130;HOMBRE;73;MESTIZO;NINGUNA;NO;NO;NO;NO;2,5;HECTÁREAS;2,5;65 años y más;NINGUNA;De 2 hectáreas a menos de 3 hectáreas;2
05025101106989999;COTOPAXI;01;10698;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,5;HECTÁREAS;,5; No informa;NINGUNA;Menor a 1 hectárea;2
05025101112680001;COTOPAXI;01;11268;0001;NO; ;128;HOMBRE;60;MESTIZO;SUPERIOR;NO;NO;NO;NO;20;HECTÁREAS;20;entre 55 y 64 años;SUPERIOR;De 20 hectáreas a menos de 50 hectáreas;2
05025201022100001;COTOPAXI;01;02210;0001;NO; ;1;HOMBRE;35;MESTIZO;SECUNDARIA;NO;NO;NO;NO;10;HECTÁREAS;10; entre 35 y 44años;SECUNDARIA;De 10 hectáreas a menos de 20 hectáreas;2
05025201032320001;COTOPAXI;01;03232;0001;NO; ;2;MUJER;80;MESTIZO;PRIMARIA;NO;NO;NO;NO;15;HECTÁREAS;15;65 años y más;PRIMARIA;De 10 hectáreas a menos de 20 hectáreas;2
05025201054459999;COTOPAXI;01;05445;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;1;HECTÁREAS;1; No informa;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
05025204000130002;COTOPAXI;04;00013;0002;NO; ;50;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;24,05;HECTÁREAS;24,05; No informa;NINGUNA;De 20 hectáreas a menos de 50 hectáreas;2
05025204000130005;COTOPAXI;04;00013;0005;NO; ;200;HOMBRE;50;MESTIZO;NINGUNA;NO;NO;NO;NO;37,75;HECTÁREAS;37,75; entre 45 y 54años;NINGUNA;De 20 hectáreas a menos de 50 hectáreas;2
05025204000130006;COTOPAXI;04;00013;0006;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;20;HECTÁREAS;20; No informa;NINGUNA;De 20 hectáreas a menos de 50 hectáreas;2
05025204000139999;COTOPAXI;04;00013;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;8;HECTÁREAS;8; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
05025204000170001;COTOPAXI;04;00017;0001;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;300;HECTÁREAS;300; No informa;NINGUNA;Mayor a 200 hectáreas;2
05035001214749999;COTOPAXI;01;21474;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,25;HECTÁREAS;,25; No informa;NINGUNA;Menor a 1 hectárea;2
05035001216589999;COTOPAXI;01;21658;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,09;HECTÁREAS;,09; No informa;NINGUNA;Menor a 1 hectárea;2
05035001217670006;COTOPAXI;01;21767;0006;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;2,77;HECTÁREAS;2,77; No informa;NINGUNA;De 2 hectáreas a menos de 3 hectáreas;2
05035001217679999;COTOPAXI;01;21767;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;1,5;HECTÁREAS;1,5; No informa;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
05035001221679999;COTOPAXI;01;22167;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,1;HECTÁREAS;,1; No informa;NINGUNA;Menor a 1 hectárea;2
05035001222170002;COTOPAXI;01;22217;0002;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;12,3;HECTÁREAS;12,3; No informa;NINGUNA;De 10 hectáreas a menos de 20 hectáreas;2
05035001222179999;COTOPAXI;01;22217;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,8;HECTÁREAS;,8; No informa;NINGUNA;Menor a 1 hectárea;2
05035001226919999;COTOPAXI;01;22691;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,73;HECTÁREAS;,73; No informa;NINGUNA;Menor a 1 hectárea;2
05035001230810005;COTOPAXI;01;23081;0005;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;5;HECTÁREAS;5; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
05035001230810006;COTOPAXI;01;23081;0006;NO; ;250;HOMBRE;37;MESTIZO;PRIMARIA;NO;NO;NO;NO;1,46;HECTÁREAS;1,46; entre 35 y 44años;PRIMARIA;De 1 hectárea a menos de 2 hectáreas;2
05035001230819999;COTOPAXI;01;23081;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,5;HECTÁREAS;,5; No informa;NINGUNA;Menor a 1 hectárea;2
05035001231399999;COTOPAXI;01;23139;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,22;HECTÁREAS;,22; No informa;NINGUNA;Menor a 1 hectárea;2
05035001232389999;COTOPAXI;01;23238;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,44;HECTÁREAS;,44; No informa;NINGUNA;Menor a 1 hectárea;2
05035003005969999;COTOPAXI;03;00596;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;1,83;HECTÁREAS;1,83; No informa;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
05035101162149999;COTOPAXI;01;16214;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,3;HECTÁREAS;,3; No informa;NINGUNA;Menor a 1 hectárea;2
05035101166060001;COTOPAXI;01;16606;0001;SI;SI; ;HOMBRE;24;MONTUBIO;EDUCACIÓN MEDIA;NO;NO;SI;NO;1;HECTÁREAS;1; entre 15 y 24 años;SECUNDARIA;De 1 hectárea a menos de 2 hectáreas;2
05035101166060003;COTOPAXI;01;16606;0003;NO; ;2;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,5;HECTÁREAS;,5; No informa;NINGUNA;Menor a 1 hectárea;2
05035101166069999;COTOPAXI;01;16606;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,68;HECTÁREAS;,68; No informa;NINGUNA;Menor a 1 hectárea;2
05035101170239999;COTOPAXI;01;17023;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,98;HECTÁREAS;,98; No informa;NINGUNA;Menor a 1 hectárea;2
05035101177810001;COTOPAXI;01;17781;0001;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;9;HECTÁREAS;9; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
05035101191430002;COTOPAXI;01;19143;0002;SI;SI; ;MUJER;45;MESTIZO;PRIMARIA;SI;NO;SI;SI;,06;HECTÁREAS;,06; entre 45 y 54años;PRIMARIA;Menor a 1 hectárea;2
05035101191430003;COTOPAXI;01;19143;0003;SI;SI; ;MUJER;24;MESTIZO;SECUNDARIA;NO;NO;SI;SI;,05;HECTÁREAS;,05; entre 15 y 24 años;SECUNDARIA;Menor a 1 hectárea;2
05035101191439999;COTOPAXI;01;19143;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,66;HECTÁREAS;,66; No informa;NINGUNA;Menor a 1 hectárea;2
05035101198100001;COTOPAXI;01;19810;0001;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;9;HECTÁREAS;9; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
05035101206020001;COTOPAXI;01;20602;0001;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;9;HECTÁREAS;9; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
05035101207839999;COTOPAXI;01;20783;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,59;HECTÁREAS;,59; No informa;NINGUNA;Menor a 1 hectárea;2
05035101214639999;COTOPAXI;01;21463;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,46;HECTÁREAS;,46; No informa;NINGUNA;Menor a 1 hectárea;2
05035101218070003;COTOPAXI;01;21807;0003;NO; ;,05;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;5,4;HECTÁREAS;5,4; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
05035101218079999;COTOPAXI;01;21807;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,13;HECTÁREAS;,13; No informa;NINGUNA;Menor a 1 hectárea;2
05035101218100003;COTOPAXI;01;21810;0003;NO; ;80;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;7,75;HECTÁREAS;7,75; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
05035101218109999;COTOPAXI;01;21810;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,25;HECTÁREAS;,25; No informa;NINGUNA;Menor a 1 hectárea;2
05035101224730003;COTOPAXI;01;22473;0003;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;6,01;HECTÁREAS;6,01; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
05035101224739999;COTOPAXI;01;22473;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,58;HECTÁREAS;,58; No informa;NINGUNA;Menor a 1 hectárea;2
05035101226009999;COTOPAXI;01;22600;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,28;HECTÁREAS;,28; No informa;NINGUNA;Menor a 1 hectárea;2
05035101227329999;COTOPAXI;01;22732;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;2,5;HECTÁREAS;2,5; No informa;NINGUNA;De 2 hectáreas a menos de 3 hectáreas;2
05035101227560006;COTOPAXI;01;22756;0006;SI;SI; ;HOMBRE;25;MESTIZO;NINGUNA;NO;NO;NO;NO;,02;HECTÁREAS;,02;entre 25 y 34 años;NINGUNA;Menor a 1 hectárea;2
05035101227569999;COTOPAXI;01;22756;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,27;HECTÁREAS;,27; No informa;NINGUNA;Menor a 1 hectárea;2
05035102002039999;COTOPAXI;02;00203;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;6,9;HECTÁREAS;6,9; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
05035102002260002;COTOPAXI;02;00226;0002;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;1;HECTÁREAS;1; No informa;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
05035102002260004;COTOPAXI;02;00226;0004;NO; ;184;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;100;HECTÁREAS;100; No informa;NINGUNA;De 100 hectáreas a menos de 200 hectáreas;2
05035102002269999;COTOPAXI;02;00226;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;1,05;HECTÁREAS;1,05; No informa;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
05035102002729999;COTOPAXI;02;00272;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;1,4;HECTÁREAS;1,4; No informa;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
05035102002860002;COTOPAXI;02;00286;0002;NO; ;170;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;127;HECTÁREAS;127; No informa;NINGUNA;De 100 hectáreas a menos de 200 hectáreas;2
05035102002869999;COTOPAXI;02;00286;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,36;HECTÁREAS;,36; No informa;NINGUNA;Menor a 1 hectárea;2
05035102003139999;COTOPAXI;02;00313;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;3,98;HECTÁREAS;3,98; No informa;NINGUNA;De 3 hectáreas a menos de 5 hectáreas;2
05035102003540001;COTOPAXI;02;00354;0001;SI;SI; ;MUJER;80;MESTIZO;NINGUNA;NO;NO;NO;NO;,12;HECTÁREAS;,12;65 años y más;NINGUNA;Menor a 1 hectárea;2
05035102003540002;COTOPAXI;02;00354;0002;SI;SI; ;MUJER;39;MESTIZO;PRIMARIA;NO;NO;NO;NO;,12;HECTÁREAS;,12; entre 35 y 44años;PRIMARIA;Menor a 1 hectárea;2
05035102003540003;COTOPAXI;02;00354;0003;SI;SI; ;HOMBRE;37;MESTIZO;PRIMARIA;NO;NO;SI;NO;,12;HECTÁREAS;,12; entre 35 y 44años;PRIMARIA;Menor a 1 hectárea;2
05035102003540004;COTOPAXI;02;00354;0004;SI;SI; ;MUJER;50;MESTIZO;PRIMARIA;NO;NO;NO;NO;,12;HECTÁREAS;,12; entre 45 y 54años;PRIMARIA;Menor a 1 hectárea;2
05035102003540008;COTOPAXI;02;00354;0008;SI;SI; ;MUJER;28;MONTUBIO;SECUNDARIA;SI;NO;SI;SI;,05;HECTÁREAS;,05;entre 25 y 34 años;SECUNDARIA;Menor a 1 hectárea;2
05035102003540010;COTOPAXI;02;00354;0010;SI;SI; ;HOMBRE;45;MONTUBIO;PRIMARIA;SI;NO;SI;SI;,02;HECTÁREAS;,02; entre 45 y 54años;PRIMARIA;Menor a 1 hectárea;2
05035102003540013;COTOPAXI;02;00354;0013;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,57;HECTÁREAS;,57; No informa;NINGUNA;Menor a 1 hectárea;2
05035102003540014;COTOPAXI;02;00354;0014;SI;SI; ;MUJER;45;MONTUBIO;SECUNDARIA;NO;NO;SI;SI;,05;HECTÁREAS;,05; entre 45 y 54años;SECUNDARIA;Menor a 1 hectárea;2
05035102003549999;COTOPAXI;02;00354;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,79;HECTÁREAS;,79; No informa;NINGUNA;Menor a 1 hectárea;2
05035102003740001;COTOPAXI;02;00374;0001;NO; ;2;HOMBRE;28;MONTUBIO;PRIMARIA;NO;NO;SI;SI;220;HECTÁREAS;220;entre 25 y 34 años;PRIMARIA;Mayor a 200 hectáreas;2
05035102003879999;COTOPAXI;02;00387;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,84;HECTÁREAS;,84; No informa;NINGUNA;Menor a 1 hectárea;2
05035162000990552;COTOPAXI;62;00099;0552;NO; ;30;MUJER;59;MESTIZO;SECUNDARIA;NO;NO;NO;NO;5;HECTÁREAS;5;entre 55 y 64 años;SECUNDARIA;De 5 hectáreas a menos de 10 hectáreas;2
05035201222480003;COTOPAXI;01;22248;0003;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,31;HECTÁREAS;,31; No informa;NINGUNA;Menor a 1 hectárea;2
05035201222859999;COTOPAXI;01;22285;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,2;HECTÁREAS;,2; No informa;NINGUNA;Menor a 1 hectárea;2
05035201224209999;COTOPAXI;01;22420;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,65;HECTÁREAS;,65; No informa;NINGUNA;Menor a 1 hectárea;2
05035201225289999;COTOPAXI;01;22528;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,12;HECTÁREAS;,12; No informa;NINGUNA;Menor a 1 hectárea;2
05035301186820003;COTOPAXI;01;18682;0003;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,6;HECTÁREAS;,6; No informa;NINGUNA;Menor a 1 hectárea;2
05035301187370001;COTOPAXI;01;18737;0001;NO; ;1;HOMBRE;48;OTRO;PRIMARIA;NO;NO;NO;NO;9,81;HECTÁREAS;9,81; entre 45 y 54años;PRIMARIA;De 5 hectáreas a menos de 10 hectáreas;2
05035301187370002;COTOPAXI;01;18737;0002;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,4;HECTÁREAS;,4; No informa;NINGUNA;Menor a 1 hectárea;2
05035301191100002;COTOPAXI;01;19110;0002;NO; ;1,5;HOMBRE;46;MESTIZO;PRIMARIA;NO;NO;NO;NO;5,17;HECTÁREAS;5,17; entre 45 y 54años;PRIMARIA;De 5 hectáreas a menos de 10 hectáreas;2
05035301195700001;COTOPAXI;01;19570;0001;NO; ;1;HOMBRE;76;MESTIZO;PRIMARIA;NO;NO;NO;NO;7,75;HECTÁREAS;7,75;65 años y más;PRIMARIA;De 5 hectáreas a menos de 10 hectáreas;2
05035301195709999;COTOPAXI;01;19570;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,25;HECTÁREAS;,25; No informa;NINGUNA;Menor a 1 hectárea;2
05035301198280002;COTOPAXI;01;19828;0002;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,45;HECTÁREAS;,45; No informa;NINGUNA;Menor a 1 hectárea;2
05035301203809999;COTOPAXI;01;20380;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,5;HECTÁREAS;,5; No informa;NINGUNA;Menor a 1 hectárea;2
05035301212040007;COTOPAXI;01;21204;0007;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,5;HECTÁREAS;,5; No informa;NINGUNA;Menor a 1 hectárea;2
05035301212049999;COTOPAXI;01;21204;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,06;HECTÁREAS;,06; No informa;NINGUNA;Menor a 1 hectárea;2
05035301214230010;COTOPAXI;01;21423;0010;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;1;HECTÁREAS;1; No informa;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
05035301214239999;COTOPAXI;01;21423;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,05;HECTÁREAS;,05; No informa;NINGUNA;Menor a 1 hectárea;2
05035301214830005;COTOPAXI;01;21483;0005;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,1;HECTÁREAS;,1; No informa;NINGUNA;Menor a 1 hectárea;2
05035301214839999;COTOPAXI;01;21483;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,1;HECTÁREAS;,1; No informa;NINGUNA;Menor a 1 hectárea;2
05035301218299999;COTOPAXI;01;21829;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,2;HECTÁREAS;,2; No informa;NINGUNA;Menor a 1 hectárea;2
05045001128280014;COTOPAXI;01;12828;0014;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;5;HECTÁREAS;5; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
05045001128289999;COTOPAXI;01;12828;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,15;HECTÁREAS;,15; No informa;NINGUNA;Menor a 1 hectárea;2
05045001140710002;COTOPAXI;01;14071;0002;NO; ;50;MUJER;50;INDÍGENA;PRIMARIA;NO;NO;NO;NO;1,4;HECTÁREAS;1,4; entre 45 y 54años;PRIMARIA;De 1 hectárea a menos de 2 hectáreas;2
05045001140710004;COTOPAXI;01;14071;0004;NO; ;1,5;HOMBRE;40;INDÍGENA;SECUNDARIA;NO;NO;NO;NO;1,4;HECTÁREAS;1,4; entre 35 y 44años;SECUNDARIA;De 1 hectárea a menos de 2 hectáreas;2
05045001140710005;COTOPAXI;01;14071;0005;NO; ;2;MUJER;32;INDÍGENA;SECUNDARIA;NO;NO;NO;NO;1,75;HECTÁREAS;1,75;entre 25 y 34 años;SECUNDARIA;De 1 hectárea a menos de 2 hectáreas;2
05045001140710006;COTOPAXI;01;14071;0006;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;2,1;HECTÁREAS;2,1; No informa;NINGUNA;De 2 hectáreas a menos de 3 hectáreas;2
05045001140710007;COTOPAXI;01;14071;0007;NO; ;,1;MUJER;65;INDÍGENA;NINGUNA;NO;NO;NO;NO;,45;HECTÁREAS;,45;65 años y más;NINGUNA;Menor a 1 hectárea;2
05045001140710008;COTOPAXI;01;14071;0008;NO; ;10;HOMBRE;58;INDÍGENA;PRIMARIA;NO;NO;NO;NO;,5;HECTÁREAS;,5;entre 55 y 64 años;PRIMARIA;Menor a 1 hectárea;2
05045001140710009;COTOPAXI;01;14071;0009;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;2;HECTÁREAS;2; No informa;NINGUNA;De 2 hectáreas a menos de 3 hectáreas;2
05045001140719999;COTOPAXI;01;14071;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,42;HECTÁREAS;,42; No informa;NINGUNA;Menor a 1 hectárea;2
05045001143550011;COTOPAXI;01;14355;0011;NO; ;4;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,5;HECTÁREAS;,5; No informa;NINGUNA;Menor a 1 hectárea;2
05045001143550012;COTOPAXI;01;14355;0012;NO; ;4;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,45;HECTÁREAS;,45; No informa;NINGUNA;Menor a 1 hectárea;2
05045001143550015;COTOPAXI;01;14355;0015;SI;SI; ;MUJER;25;MESTIZO;PRIMARIA;NO;NO;NO;NO;,24;HECTÁREAS;,24;entre 25 y 34 años;PRIMARIA;Menor a 1 hectárea;2
05045001143550019;COTOPAXI;01;14355;0019;NO; ;4;MUJER;75;MESTIZO;NINGUNA;NO;NO;NO;NO;,25;HECTÁREAS;,25;65 años y más;NINGUNA;Menor a 1 hectárea;2
05045001143550021;COTOPAXI;01;14355;0021;SI;SI; ;HOMBRE;69;MESTIZO;NINGUNA;NO;NO;NO;NO;,08;HECTÁREAS;,08;65 años y más;NINGUNA;Menor a 1 hectárea;2
05045001143559999;COTOPAXI;01;14355;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,73;HECTÁREAS;,73; No informa;NINGUNA;Menor a 1 hectárea;2
05045001145930009;COTOPAXI;01;14593;0009;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,25;HECTÁREAS;,25; No informa;NINGUNA;Menor a 1 hectárea;2
05045001145930010;COTOPAXI;01;14593;0010;SI;SI; ;MUJER;72;MESTIZO;NINGUNA;NO;NO;NO;NO;,35;HECTÁREAS;,35;65 años y más;NINGUNA;Menor a 1 hectárea;2
05045001145930011;COTOPAXI;01;14593;0011;NO; ;2;MUJER;45;MESTIZO;NINGUNA;NO;NO;NO;NO;,27;HECTÁREAS;,27; entre 45 y 54años;NINGUNA;Menor a 1 hectárea;2
05045001145930012;COTOPAXI;01;14593;0012;NO; ;5;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,8;HECTÁREAS;,8; No informa;NINGUNA;Menor a 1 hectárea;2
05045001145930013;COTOPAXI;01;14593;0013;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,72;HECTÁREAS;,72; No informa;NINGUNA;Menor a 1 hectárea;2
05045001145930014;COTOPAXI;01;14593;0014;NO; ;5;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,8;HECTÁREAS;,8; No informa;NINGUNA;Menor a 1 hectárea;2
05045001145930015;COTOPAXI;01;14593;0015;NO; ;1;MUJER;99;OTRO;NINGUNA;NO;NO;NO;NO;,8;HECTÁREAS;,8; No informa;NINGUNA;Menor a 1 hectárea;2
05045001145930016;COTOPAXI;01;14593;0016;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;2,37;HECTÁREAS;2,37; No informa;NINGUNA;De 2 hectáreas a menos de 3 hectáreas;2
05045001145930017;COTOPAXI;01;14593;0017;NO; ;30;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,42;HECTÁREAS;,42; No informa;NINGUNA;Menor a 1 hectárea;2
05045001145930018;COTOPAXI;01;14593;0018;NO; ;19;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,78;HECTÁREAS;,78; No informa;NINGUNA;Menor a 1 hectárea;2
05045001145930019;COTOPAXI;01;14593;0019;NO; ;5;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;1,45;HECTÁREAS;1,45; No informa;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
05045001145930020;COTOPAXI;01;14593;0020;NO; ;52;MUJER;99;OTRO;NINGUNA;NO;NO;NO;NO;,22;HECTÁREAS;,22; No informa;NINGUNA;Menor a 1 hectárea;2
05045001145930021;COTOPAXI;01;14593;0021;NO; ;5;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,22;HECTÁREAS;,22; No informa;NINGUNA;Menor a 1 hectárea;2
05045001145930022;COTOPAXI;01;14593;0022;NO; ;15;MUJER;99;OTRO;NINGUNA;NO;NO;NO;NO;,26;HECTÁREAS;,26; No informa;NINGUNA;Menor a 1 hectárea;2
05045001145939999;COTOPAXI;01;14593;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,48;HECTÁREAS;,48; No informa;NINGUNA;Menor a 1 hectárea;2
05045001148020005;COTOPAXI;01;14802;0005;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;1,49;HECTÁREAS;1,49; No informa;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
05045001148020006;COTOPAXI;01;14802;0006;NO; ;1;HOMBRE;80;INDÍGENA;NINGUNA;SI;NO;NO;NO;,85;HECTÁREAS;,85;65 años y más;NINGUNA;Menor a 1 hectárea;2
