Identificador;ual_prov;ual_estr;ual_segm;al_ncues;cp_numl;rc_clacul;cp_numt;cp_k404;cp_k409ha;cp_sdrenaje;cp_psdrenaje;cp_riego;cp_superf_regada_ha;cp_porc_surc;cp_porc_aspe;cp_porc_micr;cp_porc_gote;cp_porc_nebu;cp_porc_otro;cp_aferti;cp_forg;cp_cant1_fo;cp_umed1_fo;cp_cant2_fo;cp_umed2_fo;cp_cant3_fo;cp_umed3_fo;cp_fqui;cp_cantidad_npk_fq;cp_umed_npk_fq;cp_cantidad_nit_fq;cp_umed_nit_fq;cp_cantidad_fq;cp_umed_fq;cp_cantidad_pot_fq;cp_umed_pot_fq;cp_apliplagui;cp_porg;cp_cantidad_po;cp_umed_po;cp_pqui;cp_cantidad_her_pq;cp_umed_her_pq;cp_color_her_pq;cp_cantidad_ins_pq;cp_umed_ins_pq;cp_color_ins_pq;cp_cantidad_fun_pq;cp_umed_fun_pq;cp_color_fun_pq;cp_cantidad_pq;cp_umed_pq;cp_color_pq;cp_trabocacont;cp_trabfami;pc_nclavr;pc_trs;pc_trc;pc_tro;pc_znd;pc_tn;Brachiaria;Gramalote;Pasto_miel;Saboya;Otros_pastos;Pasto_mixto;Total;fact_exp_fin
01015103004380004; AZUAY;03;00438;0004;10;PASTO MIXTO;12;1;1,5;2; ;SI;1,5; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;8;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;1,5;1,5;76,3334307046723
01015103004380004; AZUAY;03;00438;0004;11;PASTO MIXTO;13;1;3,15;2; ;SI;3,15; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;20;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;3,15;3,15;76,2615723239281
01015103004380005; AZUAY;03;00438;0005;1;PASTO MIXTO;1;1;5;2; ;SI;5; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;15;QUINTAL; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;5;5;87,6976950201171
01015103004380005; AZUAY;03;00438;0005;2;PASTO MIXTO;2;1;7;2; ;SI;7; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;21;QUINTAL; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;7;7;88,8690932410558
01015103004380005; AZUAY;03;00438;0005;3;PASTO MIXTO;3;1;6,5;2; ;SI;6,5; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;19,5;QUINTAL; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;6,5;6,5;82,2200443237745
01015103004380006; AZUAY;03;00438;0006;1;PASTO MIXTO;1;1;3;2; ;SI;3; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;6;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;3;3;99,4412308543445
01015103004380006; AZUAY;03;00438;0006;2;PASTO MIXTO;2;1;2,75;2; ;SI;2,75; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;4;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;2,75;2,75;80,3858595653357
01015103004380006; AZUAY;03;00438;0006;3;PASTO MIXTO;3;1;,5;2; ;SI;,5; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;1;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,5;,5;63,4462591455682
01015103004380006; AZUAY;03;00438;0006;4;PASTO MIXTO;4;1;,61;2; ;SI;,61; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;1;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,61;,61;70,206375551824
01015103004380007; AZUAY;03;00438;0007;1;PASTO MIXTO;2;1;2,5;2; ;SI;2,5; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;5;QUINTAL;1;QUINTAL; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;2,5;2,5;95,9122593791082
