Identificador;ual_prov;ual_estr;ual_segm;al_ncues;cp_numl;rc_clacul;cp_numt;cp_k404;cp_k409ha;cp_sdrenaje;cp_psdrenaje;cp_riego;cp_superf_regada_ha;cp_porc_surc;cp_porc_aspe;cp_porc_micr;cp_porc_gote;cp_porc_nebu;cp_porc_otro;cp_aferti;cp_forg;cp_cant1_fo;cp_umed1_fo;cp_cant2_fo;cp_umed2_fo;cp_cant3_fo;cp_umed3_fo;cp_fqui;cp_cantidad_npk_fq;cp_umed_npk_fq;cp_cantidad_nit_fq;cp_umed_nit_fq;cp_cantidad_fq;cp_umed_fq;cp_cantidad_pot_fq;cp_umed_pot_fq;cp_apliplagui;cp_porg;cp_cantidad_po;cp_umed_po;cp_pqui;cp_cantidad_her_pq;cp_umed_her_pq;cp_color_her_pq;cp_cantidad_ins_pq;cp_umed_ins_pq;cp_color_ins_pq;cp_cantidad_fun_pq;cp_umed_fun_pq;cp_color_fun_pq;cp_cantidad_pq;cp_umed_pq;cp_color_pq;cp_trabocacont;cp_trabfami;pc_nclavr;pc_trs;pc_trc;pc_tro;pc_znd;pc_tn;Brachiaria;Gramalote;Pasto_miel;Saboya;Otros_pastos;Pasto_mixto;Total;fact_exp_fin
12115003001060003;LOS RÍOS;03;00106;0003;1;BRACHIARIA;2;1;80;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;120;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ;8; ;752; ;REGIÓN COSTA; ; ;TOTAL NACIONAL;80; ; ; ; ; ;80;2,05294330408712
12115061000992346;LOS RÍOS;61;00099;2346;1;SABOYA;2;1;200;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;400;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;200; ; ;200;1
12115061000992346;LOS RÍOS;61;00099;2346;2;BRACHIARIA;3;1;75,75;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;150;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;752; ;REGIÓN COSTA; ; ;TOTAL NACIONAL;75,75; ; ; ; ; ;75,75;1
12115061000992365;LOS RÍOS;61;00099;2365;1;PASTO MIXTO;1;1;110;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;23800;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI;100;LITRO;VERDE; ; ; ; ; ; ; ; ; ; ; ;764; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ;110;110;1
12115061000992377;LOS RÍOS;61;00099;2377;1;SABOYA;1;1;150;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;150;LITRO;NO SABE; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;150; ; ;150;1
12115061000992426;LOS RÍOS;61;00099;2426;1;SABOYA;1;1;129;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;10000;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI;190;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;129; ; ;129;1
12115061000992436;LOS RÍOS;61;00099;2436;1;SABOYA;1;1;100;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;150;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;100; ; ;100;1
12115061000992436;LOS RÍOS;61;00099;2436;2;SABOYA;2;1;10;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;15;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;10; ; ;10;1
12115061000992436;LOS RÍOS;61;00099;2436;3;SABOYA;3;1;20;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;30;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;20; ; ;20;1
12115061000992436;LOS RÍOS;61;00099;2436;4;SABOYA;4;1;30;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;45;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;30; ; ;30;1
12115061000992436;LOS RÍOS;61;00099;2436;5;SABOYA;5;1;40;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;60;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;40; ; ;40;1
12115061000992436;LOS RÍOS;61;00099;2436;6;OTROS PASTOS CULTIVADOS;7;1;3;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;4,5;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;780; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ;3; ;3;1
12125002038600007;LOS RÍOS;02;03860;0007;1;SABOYA;1;1;9,98;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;9,98; ; ;9,98;7,41636353818922
12125002038600007;LOS RÍOS;02;03860;0007;2;SABOYA;2;1;20;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;20; ; ;20;,928476463644084
12125002041460010;LOS RÍOS;02;04146;0010;3;SABOYA;3;1;2,25;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;2,25; ; ;2,25;4,8596607954357
12125002041460010;LOS RÍOS;02;04146;0010;5;SABOYA;5;1;1,5;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;1,5; ; ;1,5;88,3729776718369
12125002042890003;LOS RÍOS;02;04289;0003;1;SABOYA;1;1;,95;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;,95;LITRO;AZUL; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;,95; ; ;,95;90,1540363160045
12125002042890003;LOS RÍOS;02;04289;0003;3;SABOYA;4;1;3;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;3;LITRO;AZUL; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;3; ; ;3;72,0909239322907
12125002042890003;LOS RÍOS;02;04289;0003;4;SABOYA;5;1;1;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;1;LITRO;AZUL; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;1; ; ;1;67,7078925815686
12125002042890005;LOS RÍOS;02;04289;0005;1;SABOYA;1;1;4,97;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;4,97; ; ;4,97;87,8018697948631
12125002042890010;LOS RÍOS;02;04289;0010;1;SABOYA;1;1;2;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;2; ; ;2;50,6895290952485
12125002049000008;LOS RÍOS;02;04900;0008;1;SABOYA;2;1;2;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;5;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ;10;2;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;2; ; ;2;163,950154942789
12125002055420009;LOS RÍOS;02;05542;0009;1;SABOYA;1;1;2,5;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;2,5; ; ;2,5;27,6807016617436
12125052000990166;LOS RÍOS;52;00099;0166;5;SABOYA;5;1;88;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;88; ; ;88;1
13015003021530005;MANABÍ;03;02153;0005;1;SABOYA;1;1;11,98;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;12;LITRO;VERDE; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;11,98; ; ;11,98;125,900743953817
13015003021530008;MANABÍ;03;02153;0008;1;SABOYA;1;1;50;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;100;LITRO;VERDE; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;50; ; ;50;12,3801041709128
13015003021530008;MANABÍ;03;02153;0008;2;SABOYA;2;1;15;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;15; ; ;15;9,55047773601413
13015003021530008;MANABÍ;03;02153;0008;3;SABOYA;3;1;11,98;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;11,98; ; ;11,98;36,0321741005467
13015004001950009;MANABÍ;04;00195;0009;2;SABOYA;4;1;2;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;2; ; ;2;61,4033506057435
13015402199640002;MANABÍ;02;19964;0002;1;SABOYA;1;1;5;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;3;LITRO;VERDE; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;5; ; ;5;27,7359171659665
13015402199640002;MANABÍ;02;19964;0002;2;SABOYA;2;1;10;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;10;LITRO;VERDE; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;10; ; ;10;10,4672234929467
13015402199640004;MANABÍ;02;19964;0004;1;SABOYA;1;1;5;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;5; ; ;5;54,5778129586539
13015402199640004;MANABÍ;02;19964;0004;2;SABOYA;2;1;1;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;1; ; ;1;81,730557193165
13015603019550001;MANABÍ;03;01955;0001;3;SABOYA;3;1;1;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;1; ; ;1;59,4596475650308
13015603019550005;MANABÍ;03;01955;0005;2;SABOYA;2;1;11,39;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;11,39; ; ;11,39;62,2232593312302
13015603019550012;MANABÍ;03;01955;0012;1;SABOYA;1;1;19,99;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;20;LITRO;VERDE; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;19,99; ; ;19,99;54,5639541716728
13015603019550013;MANABÍ;03;01955;0013;3;SABOYA;3;1;87;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;87; ; ;87;18,8344788656883
13015654000994100;MANABÍ;54;00099;4100;2;SABOYA;4;1;30;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;30;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;30; ; ;30;1
13015661000992467;MANABÍ;61;00099;2467;1;SABOYA;1;1;57,98;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;57,98; ; ;57,98;1
13015661000992494;MANABÍ;61;00099;2494;1;SABOYA;1;1;215;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;215; ; ;215;1
13025002190690009;MANABÍ;02;19069;0009;1;SABOYA;1;1;5;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ;4;LITRO;VERDE; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;5; ; ;5;4,67733916094488
13025002190690009;MANABÍ;02;19069;0009;2;SABOYA;2;1;20;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ;20;LITRO;VERDE; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;20; ; ;20;31,667020804713
13025002196640002;MANABÍ;02;19664;0002;1;SABOYA;1;1;32;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;16;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;32; ; ;32;42,1721040437792
13025002203730001;MANABÍ;02;20373;0001;1;SABOYA;1;1;10;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;20;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;10; ; ;10;7,45073161571985
13025002203730003;MANABÍ;02;20373;0003;4;SABOYA;4;1;2;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;2;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;2; ; ;2;116,456080909176
13025002203730003;MANABÍ;02;20373;0003;5;SABOYA;5;1;10;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;10;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;10; ; ;10;55,4827937321256
13025002203730004;MANABÍ;02;20373;0004;3;SABOYA;4;1;15;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;15; ; ;15;1,97324553971037
13025002203730004;MANABÍ;02;20373;0004;4;SABOYA;5;1;9,5;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;9,5; ; ;9,5;41,414996516924
13025002204730007;MANABÍ;02;20473;0007;1;SABOYA;1;1;26;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;26;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;26; ; ;26;30,9337373009238
13025002204730008;MANABÍ;02;20473;0008;2;SABOYA;2;1;1,5;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;20;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;1,5; ; ;1,5;114,304329987542
13025002204730009;MANABÍ;02;20473;0009;2;SABOYA;2;1;3;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;3; ; ;3;34,3228487846957
13025002204730010;MANABÍ;02;20473;0010;2;SABOYA;2;1;1,48;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;1,48; ; ;1,48;93,3142213360248
13025002204730011;MANABÍ;02;20473;0011;3;SABOYA;3;1;1,98;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;1,98; ; ;1,98;154,008589788096
13025002204730012;MANABÍ;02;20473;0012;2;SABOYA;2;1;6,5;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;6,5; ; ;6,5;9,48026436232411
13025002207450001;MANABÍ;02;20745;0001;3;SABOYA;3;1;18;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;18; ; ;18;55,8331624352495
13025002207450002;MANABÍ;02;20745;0002;4;SABOYA;5;1;10,5;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;10,5; ; ;10,5;14,8174886065881
13025061000993191;MANABÍ;61;00099;3191;1;SABOYA;1;1;98;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;98; ; ;98;1
13025061000993264;MANABÍ;61;00099;3264;1;PASTO MIXTO;1;1;60;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;60;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;764; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ;60;60;1
13025064000990871;MANABÍ;64;00099;0871;1;PASTO MIXTO;1;1;4;2; ;SI;4; ;100; ; ; ; ;SI;SI;1;TONELADA; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ;4;4;1
13025103016620001;MANABÍ;03;01662;0001;2;SABOYA;3;1;2;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;2; ; ;2;53,2849918563546
13025103016620001;MANABÍ;03;01662;0001;3;SABOYA;4;1;3;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;3; ; ;3;54,7526938827431
13025103016620002;MANABÍ;03;01662;0002;2;SABOYA;2;1;3,65;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;3,65; ; ;3,65;38,7631825782743
13025103016620003;MANABÍ;03;01662;0003;2;SABOYA;2;1;3,05;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;3,05; ; ;3,05;71,0415162904219
13025103016620003;MANABÍ;03;01662;0003;3;SABOYA;3;1;3;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;3; ; ;3;47,5526867218349
13025103016620004;MANABÍ;03;01662;0004;1;SABOYA;1;1;4,6;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;8;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;4,6; ; ;4,6;49,5375692052814
13025103016620004;MANABÍ;03;01662;0004;2;SABOYA;2;1;4,25;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;9,5;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ;0; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;4,25; ; ;4,25;65,7902375352138
13025103016620005;MANABÍ;03;01662;0005;5;SABOYA;5;1;4;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;4; ; ;4;68,1627877449178
13025103016620006;MANABÍ;03;01662;0006;3;SABOYA;4;1;3,98;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;3,98; ; ;3,98;66,5290127197597
13025103016620007;MANABÍ;03;01662;0007;3;SABOYA;3;1;2,98;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;767; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ;2,98; ; ;2,98;66,8584343398487
