Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vgo_ncventmamen6mes;vgo_ncventmamas6mes;vgo_ncventhemmen6mes;vgo_ncventhemmas6mes;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;vm6m;vmy6m;TOTAL;fact_exp_fin
02025001166120007;BOLÍVAR;01;16612;0007;0; ; ;8;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0;8;8;37,8788607567478
02025001166130007;BOLÍVAR;01;16613;0007;0; ; ;8;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0;8;8;6,40538824984919
03075001024010008;CAÑAR;01;02401;0008; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;71,3064585808165
03075001024010015;CAÑAR;01;02401;0015; ; ; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;4;4;36,0889075770072
03075001024010018;CAÑAR;01;02401;0018; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;,531225724603457
03036101031820009;CAÑAR;01;03182;0009; ;1; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;5;5;49,8117132577317
03055001032710009;CAÑAR;01;03271;0009;1;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;3,88509830397191
03035501054450007;CAÑAR;01;05445;0007; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;52,8172692636942
03035801060030002;CAÑAR;01;06003;0002; ;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;6,17950905748965
03025401069870002;CAÑAR;01;06987;0002; ;2;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;2;4;73,9074096435174
03025401073130006;CAÑAR;01;07313;0006; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;67,8664631007557
03025401073150008;CAÑAR;01;07315;0008;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;66,1899379634599
03025101076380002;CAÑAR;01;07638;0002; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;8,03707163745455
03025101077310002;CAÑAR;01;07731;0002; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;13,9654226975216
03015501079040005;CAÑAR;01;07904;0005; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;17,0918210230783
03015101079610002;CAÑAR;01;07961;0002; ;2;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;3;4;54,336338695102
03065001080620001;CAÑAR;01;08062;0001; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;43,6397666847057
03065001082640002;CAÑAR;01;08264;0002; ;2; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;5;5;24,5821247824673
03015101082920002;CAÑAR;01;08292;0002; ;1; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;27,9761362992037
03015801085720002;CAÑAR;01;08572;0002; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;62,2420193638739
03065101086170001;CAÑAR;01;08617;0001; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;67,8097417726854
03065001086220005;CAÑAR;01;08622;0005; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;48,7438719456422
03035703001230004;CAÑAR;03;00123;0004; ;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;20,7528334996639
03035403003110002;CAÑAR;03;00311;0002; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;1,09642664248357
03035803003430001;CAÑAR;03;00343;0001; ;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;28,1223958462761
04015001011170006;CARCHI;01;01117;0006; ;2; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;5;5;2,91013665460506
04015001017700001;CARCHI;01;01770;0001;9;15; ;56;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;9;71;80;8,02886433716709
05015901041060003;COTOPAXI;01;04106;0003; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;57,7737893816198
05016201044140001;COTOPAXI;01;04414;0001; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;,949422832337065
05016201055260005;COTOPAXI;01;05526;0005;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;27,3198955186308
